freq,unit,s_adj,na_item,geo\TIME_PERIOD	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 
Q,I15,NSA,RLPR_PER,SI	99.625 	104.409 	103.384 	105.379 	100.312 	105.300 	105.504 	106.685 	101.665 	105.693 	106.432 	108.091 	99.402 	94.726 	106.498 	105.754 	101.852 	108.531 	109.417 	113.968 	108.789 	114.322 	110.815 	112.455 
Q,I15,NSA,RLPR_PER,SK	92.860 	100.802 	104.244 	103.216 	94.270 	102.941 	106.954 	104.930 	96.442 	104.231 	107.811 	106.652 	94.778 	96.702 	109.432 	108.031 	97.120 	106.667 	110.679 	109.075 	97.859 	105.581 	110.590 	109.161 
Q,I15,NSA,RLPR_PER,UK	100.4 	100.4 	100.7 	102.4 	100.2 	100.0 	101.0 	103.0 	100.2 	99.6 	101.0 	104.6 	96.6 	78.3 	92.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,SCA,RLPR_HW,AT	99.508 	101.379 	102.312 	100.961 	102.306 	100.887 	101.397 	101.535 	101.795 	101.964 	102.491 	100.105 	103.933 	105.222 	102.164 	104.561 	102.472 	102.490 	104.080 	106.787 	105.119 	106.325 	106.802 	105.849 
Q,I15,SCA,RLPR_HW,BE	100.366 	100.039 	99.375 	99.832 	99.958 	99.880 	99.957 	100.632 	100.189 	100.439 	101.315 	101.712 	101.676 	107.427 	102.776 	105.083 	103.521 	103.171 	102.103 	102.443 	101.759 	101.939 	101.303 	101.861 
Q,I15,SCA,RLPR_HW,BG	103.499 	103.771 	103.621 	104.197 	104.950 	105.957 	107.260 	108.411 	109.186 	109.972 	111.156 	112.328 	108.999 	112.066 	110.123 	114.097 	115.941 	117.443 	118.005 	119.931 	119.876 	120.473 	121.302 	121.482 
Q,I15,SCA,RLPR_HW,CY	102.757 	102.115 	102.270 	102.399 	103.833 	103.058 	103.133 	103.664 	104.175 	104.209 	104.584 	104.564 	105.585 	108.084 	103.636 	108.040 	107.960 	108.819 	108.003 	109.023 	110.424 	109.440 	109.965 	110.238 
Q,I15,SCA,RLPR_HW,CZ	101.331 	102.904 	103.568 	104.112 	104.047 	104.107 	104.563 	104.867 	105.499 	106.590 	108.162 	108.594 	111.014 	108.104 	106.565 	113.956 	111.018 	110.956 	109.982 	110.095 	109.455 	109.723 	109.542 	108.318 
Q,I15,SCA,RLPR_HW,DE	102.496 	102.705 	103.014 	103.715 	103.826 	103.338 	102.697 	102.961 	103.811 	104.015 	103.802 	104.509 	104.524 	101.154 	108.333 	106.760 	105.455 	105.091 	107.692 	106.498 	106.382 	106.227 	106.697 	106.647 
Q,I15,SCA,RLPR_HW,DK	102.397 	103.374 	102.971 	103.583 	104.715 	105.229 	105.610 	105.846 	105.527 	106.376 	106.553 	106.074 	106.924 	106.923 	106.874 	108.182 	109.606 	108.025 	106.872 	108.734 	106.997 	107.530 	107.095 	107.829 
Q,I15,SCA,RLPR_HW,EA	101.004 	101.463 	101.890 	102.147 	102.194 	101.758 	101.527 	101.958 	101.970 	102.629 	102.755 	102.783 	103.600 	106.420 	104.707 	104.955 	105.337 	103.895 	105.129 	104.975 	104.317 	104.622 	105.106 	104.647 
Q,I15,SCA,RLPR_HW,EA12	100.958 	101.377 	101.782 	102.048 	102.095 	101.634 	101.348 	101.800 	101.797 	102.458 	102.546 	102.596 	103.428 	106.323 	104.494 	104.645 	105.002 	103.524 	104.795 	104.559 	103.983 	104.328 	104.852 	104.399 
Q,I15,SCA,RLPR_HW,EA19	101.004 	101.463 	101.890 	102.147 	102.194 	101.758 	101.527 	101.958 	101.970 	102.629 	102.755 	102.783 	103.600 	106.420 	104.707 	104.955 	105.337 	103.895 	105.129 	104.975 	104.317 	104.622 	105.106 	104.647 
Q,I15,SCA,RLPR_HW,EA20	101.031 	101.477 	101.905 	102.150 	102.181 	101.768 	101.571 	101.982 	101.947 	102.635 	102.725 	102.760 	103.538 	106.158 	104.589 	104.872 	105.280 	103.858 	105.096 	104.946 	104.297 	104.623 	105.089 	104.640 
Q,I15,SCA,RLPR_HW,EE	103.796 	106.637 	105.767 	106.223 	111.565 	109.737 	115.541 	113.647 	114.936 	113.758 	118.997 	115.894 	122.303 	121.843 	121.625 	124.208 	122.850 	125.304 	117.770 	125.148 	120.137 	119.601 	110.970 	113.727 
Q,I15,SCA,RLPR_HW,EL	96.604 	96.713 	98.950 	96.502 	94.861 	93.253 	93.151 	93.505 	94.693 	94.695 	97.271 	95.239 	97.923 	109.017 	88.368 	100.203 	103.792 	93.824 	96.686 	93.075 	93.876 	96.492 	100.874 	96.916 
Q,I15,SCA,RLPR_HW,ES	100.841 	101.499 	101.384 	101.610 	101.414 	100.858 	100.594 	101.553 	100.862 	101.733 	101.945 	102.120 	101.919 	107.552 	99.690 	98.849 	100.508 	97.266 	100.399 	102.305 	100.239 	101.507 	101.912 	102.293 
Q,I15,SCA,RLPR_HW,EU15	100.866 	101.200 	101.758 	101.983 	101.983 	101.672 	101.389 	101.790 	101.718 	102.316 	102.471 	102.568 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,SCA,RLPR_HW,EU27_2020	101.269 	101.795 	102.346 	102.827 	102.978 	102.744 	102.633 	103.327 	103.292 	103.997 	104.236 	104.429 	104.831 	105.647 	105.363 	105.741 	105.776 	104.751 	106.165 	106.267 	105.969 	106.228 	106.889 	106.236 
Q,I15,SCA,RLPR_HW,EU28	101.136 	101.544 	102.208 	102.630 	102.705 	102.532 	102.403 	103.022 	102.915 	103.538 	103.817 	104.021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,SCA,RLPR_HW,FI	103.765 	105.221 	105.366 	105.512 	104.941 	104.018 	103.291 	102.696 	103.209 	103.561 	104.248 	103.559 	103.471 	103.514 	103.539 	104.342 	104.244 	103.981 	104.360 	104.935 	105.215 	105.838 	105.531 	106.549 
Q,I15,SCA,RLPR_HW,FR	101.293 	101.887 	102.556 	102.731 	102.633 	102.813 	102.863 	103.150 	103.003 	103.316 	103.087 	102.660 	101.355 	107.429 	103.413 	105.084 	104.610 	103.942 	102.193 	101.630 	101.577 	100.931 	100.774 	100.412 
Q,I15,SCA,RLPR_HW,HR	104.872 	103.797 	105.040 	103.522 	101.837 	103.851 	108.739 	106.572 	102.042 	106.315 	104.484 	104.040 	102.478 	90.146 	94.894 	100.596 	107.364 	106.904 	108.542 	109.819 	111.635 	112.866 	111.370 	111.378 
Q,I15,SCA,RLPR_HW,HU	99.360 	100.271 	100.638 	101.674 	103.052 	103.660 	105.068 	105.822 	107.322 	108.075 	109.739 	109.855 	109.550 	108.152 	110.013 	110.307 	111.846 	113.413 	114.801 	116.409 	116.489 	117.348 	116.405 	115.557 
Q,I15,SCA,RLPR_HW,IE	98.022 	101.071 	102.460 	107.310 	107.386 	106.666 	107.834 	107.551 	107.612 	109.468 	111.203 	112.038 	118.027 	141.686 	130.169 	127.547 	145.210 	136.273 	134.870 	132.557 	138.709 	139.160 	143.963 	144.127 
Q,I15,SCA,RLPR_HW,IS	101.075 	101.371 	102.004 	103.148 	103.401 	104.748 	103.461 	106.445 	105.113 	106.500 	108.099 	111.136 	104.454 	106.961 	106.762 	111.300 	108.633 	111.649 	108.826 	105.259 	105.394 	114.945 	113.151 	103.914 
Q,I15,SCA,RLPR_HW,IT	100.023 	99.891 	100.291 	99.638 	100.830 	99.815 	100.001 	100.496 	99.791 	101.113 	101.145 	101.062 	103.431 	107.374 	102.723 	103.174 	102.695 	102.567 	103.043 	103.659 	102.339 	102.547 	102.818 	101.983 
Q,I15,SCA,RLPR_HW,LT	104.122 	104.748 	108.180 	108.761 	108.766 	108.757 	107.732 	109.528 	110.547 	111.760 	113.809 	115.156 	117.819 	119.491 	120.579 	123.416 	122.767 	122.319 	124.516 	124.815 	122.070 	118.754 	119.952 	117.757 
Q,I15,SCA,RLPR_HW,LU	98.393 	100.276 	101.686 	101.571 	98.182 	98.651 	99.750 	98.774 	97.812 	98.114 	97.895 	98.591 	99.970 	108.649 	99.304 	99.290 	102.564 	99.880 	97.208 	97.923 	97.846 	98.193 	99.327 	: 
Q,I15,SCA,RLPR_HW,LV	103.936 	108.745 	108.783 	105.617 	105.074 	108.527 	110.918 	111.050 	112.057 	116.172 	112.939 	114.068 	115.110 	120.554 	114.766 	121.547 	126.521 	121.625 	124.057 	123.112 	122.004 	120.022 	120.533 	119.003 
Q,I15,SCA,RLPR_HW,MT	100.957 	100.783 	101.670 	101.134 	97.135 	99.345 	99.830 	98.554 	95.431 	96.767 	96.072 	95.850 	94.858 	92.117 	89.938 	92.579 	98.388 	96.666 	103.760 	102.348 	99.727 	102.558 	106.248 	103.663 
Q,I15,SCA,RLPR_HW,NL	100.510 	99.964 	100.134 	100.903 	100.232 	100.830 	99.318 	99.743 	98.620 	100.245 	99.310 	100.198 	100.758 	94.402 	100.411 	98.635 	99.344 	98.794 	102.429 	100.855 	99.652 	100.462 	101.580 	101.004 
Q,I15,SCA,RLPR_HW,NO	101.748 	102.623 	103.327 	102.214 	102.820 	100.966 	101.907 	101.535 	100.883 	101.448 	101.320 	101.360 	101.478 	100.517 	103.680 	103.881 	102.933 	104.170 	104.967 	104.312 	102.873 	103.235 	104.171 	103.976 
Q,I15,SCA,RLPR_HW,PL	104.387 	106.248 	108.179 	110.329 	112.416 	113.582 	114.548 	117.651 	117.906 	119.633 	120.115 	122.061 	122.615 	113.850 	118.024 	118.378 	117.409 	117.394 	120.273 	121.148 	127.238 	124.763 	127.971 	122.801 
Q,I15,SCA,RLPR_HW,PT	99.733 	101.501 	100.552 	101.710 	101.396 	100.787 	99.988 	100.957 	101.713 	102.852 	102.352 	102.304 	102.969 	107.868 	101.015 	99.690 	105.358 	101.466 	104.944 	108.577 	107.389 	110.241 	109.367 	108.753 
Q,I15,SCA,RLPR_HW,RO	109.325 	107.808 	109.562 	112.420 	114.292 	114.833 	116.003 	118.847 	118.183 	117.807 	119.821 	121.428 	124.013 	125.916 	117.290 	119.591 	121.367 	120.982 	124.194 	125.908 	125.417 	125.886 	128.968 	130.760 
Q,I15,SCA,RLPR_HW,RS	96.415 	96.344 	97.234 	98.084 	100.401 	100.605 	100.293 	99.924 	100.231 	101.709 	103.661 	103.834 	105.091 	96.230 	102.763 	104.214 	107.474 	106.678 	108.410 	109.888 	110.273 	109.459 	108.513 	108.382 
Q,I15,SCA,RLPR_HW,SE	99.676 	100.729 	100.802 	100.237 	100.712 	100.606 	100.742 	100.207 	101.688 	102.999 	103.054 	103.346 	103.615 	101.311 	106.973 	105.484 	104.747 	106.639 	107.825 	109.942 	109.064 	107.831 	107.322 	106.405 
Q,I15,SCA,RLPR_HW,SI	105.015 	105.630 	105.941 	108.167 	107.448 	108.183 	109.108 	109.438 	109.135 	108.831 	111.044 	111.951 	107.519 	112.123 	112.521 	115.124 	113.724 	114.009 	114.610 	118.090 	117.593 	117.214 	114.834 	114.033 
Q,I15,SCA,RLPR_HW,SK	100.799 	101.904 	102.894 	103.329 	103.747 	104.963 	106.334 	106.116 	107.172 	107.759 	107.686 	107.682 	109.933 	117.836 	113.651 	116.313 	118.676 	117.291 	115.993 	118.237 	114.147 	114.126 	114.748 	114.443 
Q,I15,SCA,RLPR_HW,UK	100.5 	100.2 	101.7 	101.8 	101.4 	101.6 	101.3 	101.5 	101.0 	101.2 	101.7 	102.0 	100.9 	100.2 	105.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,SCA,RLPR_PER,AT	101.074 	101.275 	101.511 	101.561 	101.935 	101.650 	101.919 	102.769 	102.965 	102.348 	102.707 	101.975 	99.811 	92.068 	99.533 	97.918 	97.306 	99.359 	102.053 	101.039 	101.085 	102.794 	102.775 	102.400 
Q,I15,SCA,RLPR_PER,BE	100.396 	100.045 	99.693 	100.132 	100.124 	100.221 	100.302 	100.893 	100.619 	100.839 	101.223 	101.395 	98.736 	88.164 	98.181 	97.046 	98.069 	99.006 	100.448 	100.676 	100.743 	100.701 	100.601 	100.667 
Q,I15,SCA,RLPR_PER,BG	103.406 	103.752 	103.550 	104.143 	104.936 	105.992 	107.265 	108.470 	109.118 	110.470 	110.873 	112.185 	108.526 	105.642 	109.560 	111.010 	114.221 	115.333 	116.674 	118.263 	118.159 	118.789 	119.216 	119.738 
Q,I15,SCA,RLPR_PER,CH	101.036 	100.533 	101.084 	102.115 	102.917 	103.401 	102.579 	103.225 	103.037 	102.741 	103.822 	104.280 	101.959 	96.924 	103.389 	103.198 	103.467 	105.149 	106.068 	105.547 	105.742 	105.766 	105.824 	105.671 
Q,I15,SCA,RLPR_PER,CY	103.201 	102.198 	101.888 	101.996 	103.108 	102.121 	102.146 	102.945 	104.150 	104.041 	104.231 	104.430 	104.373 	94.959 	100.191 	103.066 	104.056 	105.814 	106.742 	107.864 	108.665 	109.309 	108.874 	109.302 
Q,I15,SCA,RLPR_PER,CZ	102.812 	104.715 	105.023 	105.914 	105.997 	105.832 	106.884 	107.503 	108.187 	108.764 	109.956 	110.895 	107.478 	99.182 	106.103 	108.081 	106.999 	107.778 	109.122 	109.981 	110.363 	109.000 	108.783 	108.802 
Q,I15,SCA,RLPR_PER,DE	101.797 	102.283 	102.664 	103.268 	102.232 	102.612 	101.536 	102.099 	102.527 	102.120 	102.194 	102.343 	100.816 	92.501 	100.929 	101.443 	100.017 	101.680 	101.996 	101.663 	102.007 	101.809 	102.207 	101.524 
Q,I15,SCA,RLPR_PER,DK	102.506 	103.288 	102.662 	103.007 	103.211 	103.232 	103.399 	103.683 	102.976 	103.620 	103.753 	103.389 	103.198 	99.539 	103.484 	103.640 	104.935 	104.867 	103.963 	105.776 	104.020 	104.984 	104.544 	105.019 
Q,I15,SCA,RLPR_PER,EA	101.031 	101.422 	101.756 	102.224 	101.750 	101.798 	101.518 	101.894 	102.019 	102.005 	102.092 	101.942 	98.725 	90.139 	100.159 	99.367 	99.404 	100.631 	101.698 	101.707 	101.772 	102.291 	102.374 	102.059 
Q,I15,SCA,RLPR_PER,EA12	101.014 	101.394 	101.730 	102.206 	101.707 	101.746 	101.461 	101.829 	101.934 	101.910 	101.986 	101.824 	98.577 	89.943 	99.979 	99.155 	99.151 	100.376 	101.440 	101.438 	101.533 	102.090 	102.200 	101.876 
Q,I15,SCA,RLPR_PER,EA19	101.031 	101.422 	101.756 	102.224 	101.750 	101.798 	101.518 	101.894 	102.019 	102.005 	102.092 	101.942 	98.725 	90.139 	100.159 	99.367 	99.404 	100.631 	101.698 	101.707 	101.772 	102.291 	102.374 	102.059 
Q,I15,SCA,RLPR_PER,EA20	101.066 	101.437 	101.760 	102.223 	101.750 	101.805 	101.531 	101.907 	102.010 	102.013 	102.094 	101.936 	98.728 	90.117 	100.118 	99.363 	99.430 	100.641 	101.716 	101.726 	101.802 	102.326 	102.399 	102.089 
Q,I15,SCA,RLPR_PER,EE	104.654 	106.353 	105.345 	106.002 	108.286 	107.329 	109.760 	109.094 	111.231 	111.733 	111.028 	110.471 	112.570 	109.723 	115.467 	116.886 	120.246 	124.642 	122.936 	122.584 	117.957 	117.321 	115.626 	112.937 
Q,I15,SCA,RLPR_PER,EL	97.357 	97.917 	98.641 	97.262 	96.363 	95.074 	94.081 	94.433 	94.193 	94.745 	94.801 	94.970 	92.284 	83.104 	86.751 	89.531 	94.733 	92.424 	92.129 	91.706 	93.876 	94.371 	94.724 	95.420 
Q,I15,SCA,RLPR_PER,ES	101.084 	101.342 	101.180 	101.301 	101.459 	101.344 	101.162 	101.269 	100.845 	100.710 	100.753 	100.336 	96.097 	85.075 	96.175 	94.881 	94.130 	95.860 	96.182 	97.523 	96.928 	99.668 	98.718 	98.514 
Q,I15,SCA,RLPR_PER,EU15	100.972 	101.288 	101.621 	102.003 	101.529 	101.629 	101.454 	101.721 	101.838 	101.814 	101.988 	101.773 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,SCA,RLPR_PER,EU27_2020	101.388 	101.670 	102.134 	102.722 	102.412 	102.535 	102.380 	102.964 	103.191 	103.207 	103.406 	103.361 	100.466 	91.965 	101.485 	100.855 	101.070 	102.180 	103.335 	103.548 	103.850 	104.219 	104.408 	103.977 
Q,I15,SCA,RLPR_PER,EU28	101.287 	101.506 	101.956 	102.463 	102.127 	102.264 	102.201 	102.646 	102.872 	102.851 	103.119 	103.004 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,SCA,RLPR_PER,FI	103.734 	104.657 	104.842 	104.846 	104.292 	103.363 	102.808 	102.053 	102.318 	102.482 	102.743 	102.472 	102.676 	99.516 	102.986 	102.829 	102.110 	102.158 	102.609 	102.475 	102.309 	102.024 	101.769 	101.441 
Q,I15,SCA,RLPR_PER,FR	100.974 	101.360 	101.929 	102.276 	102.019 	102.294 	102.597 	102.979 	103.201 	103.540 	103.254 	102.676 	97.182 	86.171 	100.386 	98.767 	98.409 	98.676 	100.854 	100.641 	99.921 	100.059 	99.859 	99.676 
Q,I15,SCA,RLPR_PER,HR	106.210 	104.052 	103.594 	103.393 	102.764 	104.586 	105.177 	105.452 	103.682 	106.049 	105.590 	104.397 	102.829 	90.358 	95.339 	101.052 	107.627 	107.131 	109.311 	109.869 	111.823 	113.803 	112.504 	112.963 
Q,I15,SCA,RLPR_PER,HU	99.898 	100.662 	101.129 	102.021 	103.057 	103.473 	104.497 	105.002 	106.774 	106.949 	108.645 	109.092 	107.214 	96.170 	105.457 	106.446 	107.980 	109.495 	110.677 	112.271 	113.092 	113.787 	113.010 	112.666 
Q,I15,SCA,RLPR_PER,IE	100.562 	101.972 	106.510 	110.668 	110.177 	111.404 	111.184 	111.656 	111.810 	114.185 	115.113 	114.844 	117.806 	122.566 	131.687 	123.892 	137.272 	133.472 	131.719 	128.344 	136.714 	137.927 	141.730 	141.348 
Q,I15,SCA,RLPR_PER,IS	100.225 	101.750 	101.533 	103.090 	102.177 	104.148 	102.771 	105.049 	104.604 	105.463 	104.357 	107.638 	101.933 	99.099 	102.532 	107.444 	104.546 	106.038 	106.296 	108.269 	108.080 	104.321 	100.979 	105.799 
Q,I15,SCA,RLPR_PER,IT	100.197 	100.603 	100.567 	101.148 	100.683 	100.084 	100.395 	100.818 	100.667 	100.439 	100.538 	100.145 	94.460 	85.728 	97.136 	96.051 	96.837 	98.498 	100.554 	101.140 	100.963 	101.229 	101.772 	101.297 
Q,I15,SCA,RLPR_PER,LT	103.392 	104.604 	106.269 	106.958 	107.795 	108.322 	106.725 	109.377 	110.799 	111.513 	113.078 	113.941 	113.219 	109.355 	118.032 	117.098 	118.356 	120.125 	119.961 	119.917 	118.689 	115.826 	114.731 	114.779 
Q,I15,SCA,RLPR_PER,LU	99.535 	99.959 	100.215 	99.258 	98.570 	97.234 	97.368 	96.803 	96.121 	96.995 	96.334 	96.023 	94.555 	89.851 	96.141 	95.300 	96.464 	96.203 	95.211 	95.796 	95.616 	94.414 	94.831 	: 
Q,I15,SCA,RLPR_PER,LV	104.886 	106.430 	106.228 	106.020 	106.617 	108.637 	109.037 	110.736 	110.738 	112.670 	111.462 	111.548 	111.136 	108.308 	112.580 	115.102 	119.037 	117.431 	120.068 	120.111 	119.982 	118.746 	116.974 	117.534 
Q,I15,SCA,RLPR_PER,MT	102.236 	101.540 	102.230 	100.277 	100.312 	101.681 	103.109 	101.282 	102.470 	103.101 	103.005 	102.671 	97.554 	84.963 	90.157 	93.490 	98.146 	97.028 	101.158 	101.562 	100.837 	100.038 	100.126 	99.674 
Q,I15,SCA,RLPR_PER,NL	101.008 	101.270 	101.307 	101.367 	101.013 	101.044 	100.646 	100.423 	100.408 	100.503 	100.604 	100.510 	98.808 	93.651 	97.902 	97.833 	97.944 	100.386 	100.566 	100.366 	99.656 	101.232 	100.522 	100.443 
Q,I15,SCA,RLPR_PER,NO	101.751 	102.507 	102.871 	101.767 	101.824 	101.800 	102.038 	101.492 	100.755 	101.156 	101.373 	101.998 	100.859 	98.138 	102.459 	102.586 	102.289 	103.809 	104.947 	104.058 	102.301 	102.855 	103.691 	103.471 
Q,I15,SCA,RLPR_PER,PL	104.654 	105.249 	106.887 	108.599 	110.217 	110.681 	112.266 	114.611 	116.116 	116.142 	117.205 	118.409 	118.391 	108.928 	115.573 	114.618 	117.172 	118.224 	119.669 	121.116 	127.609 	124.170 	125.836 	121.797 
Q,I15,SCA,RLPR_PER,PT	100.860 	100.366 	100.536 	100.679 	100.530 	101.213 	101.295 	101.480 	102.074 	102.835 	103.078 	104.137 	99.926 	87.501 	99.213 	97.918 	96.468 	98.402 	100.696 	102.575 	103.439 	103.570 	104.162 	105.403 
Q,I15,SCA,RLPR_PER,RO	110.397 	107.401 	110.240 	112.682 	114.270 	116.048 	116.720 	118.349 	120.284 	120.095 	121.151 	121.113 	122.999 	114.813 	118.060 	121.029 	122.319 	122.991 	125.262 	125.752 	126.484 	128.535 	130.949 	131.906 
Q,I15,SCA,RLPR_PER,RS	96.861 	96.439 	97.325 	98.013 	100.572 	100.415 	99.969 	99.594 	100.143 	101.488 	103.221 	103.150 	105.210 	95.571 	101.576 	102.393 	106.590 	105.114 	106.053 	106.918 	109.291 	107.806 	106.501 	105.777 
Q,I15,SCA,RLPR_PER,SE	99.759 	100.327 	100.756 	100.586 	100.405 	101.194 	100.214 	101.250 	101.647 	102.329 	102.250 	102.600 	102.603 	96.475 	103.004 	102.628 	104.027 	104.276 	105.357 	106.949 	105.806 	105.273 	105.235 	104.439 
Q,I15,SCA,RLPR_PER,SI	102.836 	103.294 	103.362 	105.001 	104.066 	104.723 	105.410 	105.782 	105.770 	104.888 	106.138 	107.329 	102.065 	93.764 	105.860 	104.028 	105.450 	106.900 	108.993 	111.962 	112.350 	112.658 	110.914 	111.382 
Q,I15,SCA,RLPR_PER,SK	99.746 	100.081 	100.333 	100.990 	101.430 	102.117 	102.690 	102.867 	103.369 	103.450 	103.786 	104.480 	101.991 	96.041 	105.164 	105.611 	104.960 	106.326 	106.138 	106.140 	105.886 	105.621 	105.809 	105.842 
Q,I15,SCA,RLPR_PER,UK	100.8 	100.7 	101.2 	101.3 	100.7 	101.0 	101.4 	101.1 	101.3 	101.1 	101.8 	101.3 	98.0 	80.4 	93.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,PCH_PRE,SCA,RLPR_HW,AT	-0.9 	1.9 	0.9 	-1.3 	1.3 	-1.4 	0.5 	0.1 	0.3 	0.2 	0.5 	-2.3 	3.8 	1.2 	-2.9 	2.3 	-2.0 	0.0 	1.6 	2.6 	-1.6 	1.1 	0.4 	-0.9 
Q,PCH_PRE,SCA,RLPR_HW,BG	0.1 	0.3 	-0.1 	0.6 	0.7 	1.0 	1.2 	1.1 	0.7 	0.7 	1.1 	1.1 	-3.0 	2.8 	-1.7 	3.6 	1.6 	1.3 	0.5 	1.4 	0.2 p	0.7 p	0.9 p	: 
Q,PCH_PRE,SCA,RLPR_HW,CY	1.2 	-0.6 	0.2 	0.1 	1.4 	-0.7 	0.1 	0.5 	0.5 	0.0 	0.4 	0.0 	1.0 	2.4 	-4.1 	4.2 	-0.1 	0.8 	-0.7 	0.9 	1.3 	-0.9 	0.5 	0.2 
Q,PCH_PRE,SCA,RLPR_HW,CZ	0.2 	1.6 	0.6 	0.5 	-0.1 	0.1 	0.4 	0.3 	0.6 	1.0 	1.5 	0.4 	2.2 	-2.6 	-1.4 	6.9 	-2.6 	-0.1 	-0.9 	0.1 	-0.6 	0.2 	-0.2 	-1.1 
Q,PCH_PRE,SCA,RLPR_HW,DE	0.9 	0.2 	0.3 	0.7 	0.1 	-0.5 	-0.6 	0.3 	0.8 p	0.2 p	-0.2 p	0.7 p	0.0 p	-3.2 p	7.1 p	-1.5 p	-1.2 p	-0.3 p	2.5 p	-1.1 p	-0.1 p	-0.1 p	0.4 p	0.0 p
Q,PCH_PRE,SCA,RLPR_HW,DK	0.4 	1.0 	-0.4 	0.6 	1.1 	0.5 	0.4 	0.2 	-0.3 	0.8 	0.2 	-0.4 	0.8 	0.0 	0.0 	1.2 	1.3 	-1.4 	-1.1 	1.7 	-1.6 	0.5 	-0.4 	0.7 
Q,PCH_PRE,SCA,RLPR_HW,EA	0.1 	0.5 	0.4 	0.3 	0.0 	-0.4 	-0.2 	0.4 	0.0 	0.6 	0.1 	0.0 	0.8 	2.7 	-1.6 	0.2 	0.4 	-1.4 	1.2 	-0.1 	-0.6 	0.3 	0.5 	-0.4 
Q,PCH_PRE,SCA,RLPR_HW,EA12	0.1 	0.4 	0.4 	0.3 	0.0 	-0.5 	-0.3 	0.4 	0.0 	0.7 	0.1 	0.0 	0.8 	2.8 	-1.7 	0.1 	0.3 	-1.4 	1.2 	-0.2 	-0.6 	0.3 	0.5 	-0.4 
Q,PCH_PRE,SCA,RLPR_HW,EA19	0.1 	0.5 	0.4 	0.3 	0.0 	-0.4 	-0.2 	0.4 	0.0 	0.6 	0.1 	0.0 	0.8 	2.7 	-1.6 	0.2 	0.4 	-1.4 	1.2 	-0.1 	-0.6 	0.3 	0.5 	-0.4 
Q,PCH_PRE,SCA,RLPR_HW,EA20	0.1 	0.4 	0.4 	0.2 	0.0 	-0.4 	-0.2 	0.4 	0.0 	0.7 	0.1 	0.0 	0.8 	2.5 	-1.5 	0.3 	0.4 	-1.4 	1.2 	-0.1 	-0.6 	0.3 	0.4 	-0.4 
Q,PCH_PRE,SCA,RLPR_HW,EE	-2.0 	2.7 	-0.8 	0.4 	5.0 	-1.6 	5.3 	-1.6 	1.1 	-1.0 	4.6 	-2.6 	5.5 	-0.4 	-0.2 	2.1 	-1.1 	2.0 	-6.0 	6.3 	-4.0 	-0.4 	-7.2 	2.5 
Q,PCH_PRE,SCA,RLPR_HW,EL	-1.1 	0.1 	2.3 	-2.5 	-1.7 	-1.7 	-0.1 	0.4 	1.3 p	0.0 p	2.7 p	-2.1 p	2.8 p	11.3 p	-18.9 p	13.4 p	3.6 p	-9.6 p	3.1 p	-3.7 p	0.9 p	2.8 p	4.5 p	-3.9 p
Q,PCH_PRE,SCA,RLPR_HW,ES	-0.1 	0.7 	-0.1 	0.2 	-0.2 	-0.5 	-0.3 	1.0 	-0.7 	0.9 	0.2 	0.2 	-0.2 p	5.5 p	-7.3 p	-0.8 p	1.7 p	-3.2 p	3.2 p	1.9 p	-2.0 p	1.3 p	0.4 p	0.4 p
Q,PCH_PRE,SCA,RLPR_HW,EU15	0.0 	0.3 	0.6 	0.2 	0.0 	-0.3 	-0.3 	0.4 	-0.1 	0.6 	0.2 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,PCH_PRE,SCA,RLPR_HW,EU27_2020	0.2 	0.5 	0.5 	0.5 	0.1 	-0.2 	-0.1 	0.7 	0.0 	0.7 	0.2 	0.2 	0.4 	0.8 	-0.3 	0.4 	0.0 	-1.0 	1.3 	0.1 	-0.3 	0.2 	0.6 	-0.6 
Q,PCH_PRE,SCA,RLPR_HW,EU28	0.1 	0.4 	0.7 	0.4 	0.1 	-0.2 	-0.1 	0.6 	-0.1 	0.6 	0.3 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,PCH_PRE,SCA,RLPR_HW,FI	-0.3 	1.4 	0.1 	0.1 	-0.5 	-0.9 	-0.7 	-0.6 	0.5 	0.3 	0.7 	-0.7 	-0.1 	0.0 	0.0 	0.8 	-0.1 	-0.3 	0.4 	0.6 	0.3 	0.6 	-0.3 	1.0 
