freq,unit,s_adj,na_item,geo\TIME_PERIOD	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 
Q,I15,NSA,RLPR_HW,FR	102.459 	102.012 	99.721 	105.387 	103.242 	102.355 	99.895 	105.775 	103.359 	103.089 	100.907 	105.513 	101.568 	105.658 	100.633 	107.490 	104.221 	102.769 	98.694 	103.244 	101.429 	100.556 	97.775 	102.276 
Q,I15,NSA,RLPR_HW,HR	96.729 	101.938 	116.597 	102.591 	93.301 	103.148 	120.270 	105.418 	93.540 	105.428 	114.958 	103.023 	93.667 	89.941 	103.927 	99.195 	98.219 	106.616 	119.081 	107.465 	101.869 	113.513 	122.317 	110.175 
Q,I15,NSA,RLPR_HW,HU	89.778 	97.529 	102.481 	113.851 	93.805 	100.628 	107.857 	117.540 	97.455 	105.779 	112.085 	121.997 	99.149 	106.220 	112.193 	121.014 	101.621 	110.853 	116.936 	126.566 	105.006 	115.082 	118.474 	127.024 
Q,I15,NSA,RLPR_HW,IE	94.822 	96.302 	105.469 	109.246 	104.762 	101.040 	111.018 	108.319 	103.672 	103.751 	115.225 	112.662 	113.938 	135.564 	135.810 	128.141 	141.008 	130.147 	141.507 	133.032 	133.774 	133.849 	151.541 	143.354 
Q,I15,NSA,RLPR_HW,IS	92.792 	103.167 	114.322 	97.158 	96.715 	105.637 	115.402 	100.073 	94.662 	110.884 	120.405 	105.179 	97.414 	110.333 	115.776 	106.102 	102.775 	113.588 	116.960 	104.769 	102.536 	111.810 	119.686 	102.414 
Q,I15,NSA,RLPR_HW,IT	97.886 	98.314 	103.820 	101.376 	98.620 	97.789 	103.416 	101.524 	98.119 	99.057 	103.972 	102.178 	101.529 	105.229 	104.879 	104.172 	102.250 	100.055 	104.974 	104.044 	101.079 	100.614 	105.400 	103.226 
Q,I15,NSA,RLPR_HW,LT	97.082 	101.895 	116.317 	110.278 	101.649 	105.946 	115.594 	111.025 	104.718 	109.852 	121.259 	115.667 	109.542 	118.278 	128.012 	123.151 	115.544 	118.605 	133.478 	126.079 	114.178 	113.182 	131.130 	119.418 
Q,I15,NSA,RLPR_HW,LU	96.945 	103.064 	97.986 	103.674 	98.162 	99.939 	96.098 	100.676 	96.441 	101.039 	94.215 	100.262 	98.814 	112.100 	95.358 	100.747 	101.677 	103.199 	93.169 	99.192 	97.201 	101.580 	95.048 	: 
Q,I15,NSA,RLPR_HW,LV	95.124 	109.200 	112.230 	111.428 	95.073 	109.751 	114.024 	116.837 	101.023 	116.519 	117.803 	120.086 	103.578 	120.354 	120.031 	128.396 	113.655 	121.954 	129.724 	130.261 	110.170 	120.511 	125.939 	125.757 
Q,I15,NSA,RLPR_HW,MT	98.556 	100.236 	104.247 	101.241 	94.995 	98.895 	102.204 	98.580 	93.568 	96.300 	98.093 	95.825 	93.406 	91.485 	91.604 	92.598 	97.122 	95.948 	105.736 	102.297 	98.342 	101.831 	108.487 	103.480 
