"Date","Organic traffic"
"2019-02-17",6737
"2019-02-18",6737
"2019-02-19",6581
"2019-02-20",6498
"2019-02-21",6471
"2019-02-22",6470
"2019-02-23",6470
"2019-02-24",6470
"2019-02-25",6470
"2019-02-26",6471
"2019-02-27",6471
"2019-02-28",6857
"2019-03-01",6852
"2019-03-02",6858
"2019-03-03",6829
"2019-03-04",6807
"2019-03-05",6842
"2019-03-06",6856
"2019-03-07",6854
"2019-03-08",6854
"2019-03-09",6851
"2019-03-10",6851
"2019-03-11",6851
"2019-03-12",6851
"2019-03-13",6848
"2019-03-14",6848
"2019-03-15",6980
"2019-03-16",6980
"2019-03-17",6965
"2019-03-18",6963
"2019-03-19",6969
"2019-03-20",6969
"2019-03-21",6968
"2019-03-22",6967
"2019-03-23",6912
"2019-03-24",6909
"2019-03-25",6911
"2019-03-26",6911
"2019-03-27",6925
"2019-03-28",6925
"2019-03-29",6941
"2019-03-30",7626
"2019-03-31",7641
"2019-04-01",7644
"2019-04-02",7650
"2019-04-03",7650
"2019-04-04",7650
"2019-04-05",7648
"2019-04-06",7731
"2019-04-07",7731
"2019-04-08",7731
"2019-04-09",10236
"2019-04-10",10235
"2019-04-11",10235
"2019-04-12",10234
"2019-04-13",11062
"2019-04-14",11062
"2019-04-15",11090
"2019-04-16",11096
"2019-04-17",10984
"2019-04-18",10984
"2019-04-19",10986
"2019-04-20",10985
"2019-04-21",11053
"2019-04-22",11051
"2019-04-23",11052
"2019-04-24",11052
"2019-04-25",11040
"2019-04-26",11074
"2019-04-27",11076
"2019-04-28",11070
"2019-04-29",11846
"2019-04-30",11854
"2019-05-01",11854
"2019-05-02",11853
"2019-05-03",11853
"2019-05-04",11855
"2019-05-05",11828
"2019-05-06",11830
"2019-05-07",12229
"2019-05-08",12181
"2019-05-09",12181
"2019-05-10",9715
"2019-05-11",9715
"2019-05-12",9715
"2019-05-13",9714
"2019-05-14",9714
"2019-05-15",9706
"2019-05-16",9749
"2019-05-17",9749
"2019-05-18",9411
"2019-05-19",9412
"2019-05-20",8849
"2019-05-21",8724
"2019-05-22",8724
"2019-05-23",8724
"2019-05-24",8723
"2019-05-25",8695
"2019-05-26",8647
"2019-05-27",8628
"2019-05-28",8628
"2019-05-29",8625
"2019-05-30",9186
"2019-05-31",9186
"2019-06-01",9186
"2019-06-02",9197
"2019-06-03",9197
"2019-06-04",9190
"2019-06-05",9186
"2019-06-06",9186
"2019-06-07",9601
"2019-06-08",9601
"2019-06-09",11792
"2019-06-10",11792
"2019-06-11",11791
"2019-06-12",11792
"2019-06-13",11796
"2019-06-14",11796
"2019-06-15",11677
"2019-06-16",11678
"2019-06-17",11676
"2019-06-18",11675
"2019-06-19",11676
"2019-06-20",10908
"2019-06-21",10908
"2019-06-22",10905
"2019-06-23",10906
"2019-06-24",10906
"2019-06-25",10906
"2019-06-26",10906
"2019-06-27",10913
"2019-06-28",10910
"2019-06-29",10910
"2019-06-30",11666
"2019-07-01",11659
"2019-07-02",11659
"2019-07-03",11660
"2019-07-04",11661
"2019-07-05",11661
"2019-07-06",11691
"2019-07-07",11691
"2019-07-08",13027
"2019-07-09",13026
"2019-07-10",11935
"2019-07-11",11935
"2019-07-12",11935
"2019-07-13",11936
"2019-07-14",11936
"2019-07-15",11937
"2019-07-16",11921
"2019-07-17",11924
"2019-07-18",12463
"2019-07-19",13186
"2019-07-20",13186
"2019-07-21",13187
"2019-07-22",13187
"2019-07-23",13198
"2019-07-24",13200
"2019-07-25",13234
"2019-07-26",13235
"2019-07-27",13235
"2019-07-28",13234
"2019-07-29",13236
"2019-07-30",13230
"2019-07-31",13230
"2019-08-01",13670
"2019-08-02",14187
"2019-08-03",14187
"2019-08-04",14189
"2019-08-05",14187
"2019-08-06",14187
"2019-08-07",14192
"2019-08-08",14195
"2019-08-09",14902
"2019-08-10",15759
"2019-08-11",15759
"2019-08-12",15759
"2019-08-13",15759
"2019-08-14",15738
"2019-08-15",15740
"2019-08-16",15795
"2019-08-17",15796
"2019-08-18",15780
"2019-08-19",15776
"2019-08-20",15782
"2019-08-21",15773
"2019-08-22",15771
"2019-08-23",15773
"2019-08-24",15759
"2019-08-25",15759
"2019-08-26",15759
"2019-08-27",15775
"2019-08-28",15777
"2019-08-29",15818
"2019-08-30",15833
"2019-08-31",15835
"2019-09-01",18562
"2019-09-02",18605
"2019-09-03",18587
"2019-09-04",18756
"2019-09-05",18840
"2019-09-06",18837
"2019-09-07",18773
"2019-09-08",17736
"2019-09-09",17725
"2019-09-10",17729
"2019-09-11",17732
"2019-09-12",17737
"2019-09-13",17743
"2019-09-14",17754
"2019-09-15",17788
"2019-09-16",17815
"2019-09-17",18039
"2019-09-18",18069
"2019-09-19",18086
"2019-09-20",18076
"2019-09-21",18028
"2019-09-22",18045
"2019-09-23",19174
"2019-09-24",19160
"2019-09-25",19081
"2019-09-26",19094
"2019-09-27",19138
"2019-09-28",19136
"2019-09-29",19110
"2019-09-30",19070
"2019-10-01",19033
"2019-10-02",19032
"2019-10-03",19027
"2019-10-04",19117
"2019-10-05",19149
"2019-10-06",20165
"2019-10-07",19092
"2019-10-08",18950
"2019-10-09",19101
"2019-10-10",19165
"2019-10-11",19192
"2019-10-12",19203
"2019-10-13",19062
"2019-10-14",19046
"2019-10-15",18918
"2019-10-16",18962
"2019-10-17",19312
"2019-10-18",19335
"2019-10-19",19275
"2019-10-20",19233
"2019-10-21",19323
"2019-10-22",19461
"2019-10-23",19442
"2019-10-24",18440
"2019-10-25",18401
"2019-10-26",18407
"2019-10-27",18426
"2019-10-28",18478
"2019-10-29",17549
"2019-10-30",17469
"2019-10-31",17449
"2019-11-01",17550
"2019-11-02",17536
"2019-11-03",19290
"2019-11-04",19368
"2019-11-05",23749
"2019-11-06",23669
"2019-11-07",23459
"2019-11-08",23456
"2019-11-09",23439
"2019-11-10",24605
"2019-11-11",24962
"2019-11-12",24051
"2019-11-13",24085
"2019-11-14",24221
"2019-11-15",24176
"2019-11-16",24044
"2019-11-17",24102
"2019-11-18",23871
"2019-11-19",25017
"2019-11-20",25229
"2019-11-21",25201
"2019-11-22",24967
"2019-11-23",24965
"2019-11-24",24808
"2019-11-25",23569
"2019-11-26",23828
"2019-11-27",23807
"2019-11-28",23559
"2019-11-29",23569
"2019-11-30",23550
"2019-12-01",23515
