Month,Total number of employees,Number of employees that left,Run
0,450,6,1
1,456,5,1
2,454,5,1
3,453,7,1
4,453,6,1
5,456,4,1
6,456,3,1
7,457,3,1
8,478,2,1
9,479,1,1
10,483,8,1
11,478,7,1
12,476,5,1
13,474,1,1
14,474,4,1
15,470,5,1
16,465,4,1
17,461,7,1
18,464,2,1
19,478,4,1
20,479,6,1
21,480,6,1
22,483,5,1
23,481,6,1
24,475,2,1
25,473,5,1
26,470,14,1
27,456,10,1
28,446,15,1
29,436,11,1
30,432,12,1
31,431,7,1
32,431,11,1
33,424,11,1
34,431,4,1
35,434,7,1
36,447,7,1
37,441,6,1
38,437,12,1
39,425,6,1
40,435,5,1
41,430,7,1
42,423,7,1
43,416,9,1
44,407,11,1
45,399,12,1
46,410,10,1
47,427,8,1
48,426,12,1
49,421,12,1
50,421,7,1
51,423,12,1
52,421,5,1
53,416,4,1
54,424,7,1
55,425,4,1
56,425,6,1
57,423,2,1
58,421,5,1
59,420,2,1
60,428,6,1
61,424,4,1
62,420,6,1
63,426,13,1
64,413,1,1
65,432,7,1
66,425,6,1
67,424,12,1
68,426,10,1
69,439,10,1
70,436,8,1
71,434,8,1
72,426,6,1
73,426,12,1
74,439,11,1
75,433,10,1
76,429,4,1
77,426,5,1
78,429,9,1
79,425,9,1
80,434,7,1
81,427,4,1
82,425,8,1
83,417,14,1
84,405,13,1
85,404,11,1
86,402,13,1
87,396,6,1
88,396,9,1
89,393,5,1
90,401,8,1
91,403,4,1
92,399,5,1
93,399,7,1
94,413,9,1
95,415,12,1
96,407,6,1
97,421,11,1
98,410,4,1
99,410,13,1
100,427,14,1
101,420,9,1
102,418,9,1
103,418,6,1
104,418,7,1
105,414,4,1
106,410,12,1
107,404,8,1
108,405,7,1
109,403,8,1
110,405,8,1
111,402,5,1
112,400,12,1
113,388,12,1
114,376,9,1
115,372,13,1
116,359,13,1
117,346,13,1
118,345,7,1
119,362,13,1
120,369,11,1
0,443,4,2
1,439,6,2
2,450,6,2
3,450,4,2
4,451,8,2
5,449,4,2
6,454,6,2
7,475,7,2
8,469,1,2
9,468,6,2
10,468,3,2
11,465,9,2
12,456,6,2
13,450,6,2
14,444,6,2
15,438,10,2
16,436,9,2
17,448,11,2
18,457,9,2
19,468,4,2
20,466,4,2
21,463,7,2
22,464,6,2
23,463,4,2
24,462,7,2
25,459,7,2
26,462,4,2
27,458,7,2
28,451,10,2
29,441,10,2
30,431,6,2
31,435,7,2
32,428,11,2
33,438,9,2
34,441,8,2
35,447,10,2
36,440,13,2
37,436,11,2
38,425,13,2
39,419,7,2
40,420,5,2
41,418,14,2
42,415,12,2
43,409,6,2
44,408,11,2
45,407,7,2
46,407,9,2
47,404,9,2
48,395,4,2
49,391,7,2
50,384,8,2
51,384,8,2
52,384,8,2
53,392,7,2
54,385,10,2
55,393,8,2
56,405,8,2
57,406,12,2
58,400,7,2
59,401,5,2
60,409,6,2
61,407,7,2
62,404,10,2
63,394,9,2
64,386,6,2
65,390,13,2
66,422,13,2
67,437,11,2
68,440,12,2
69,441,7,2
70,440,6,2
71,440,10,2
72,435,8,2
73,431,6,2
74,429,19,2
75,440,8,2
76,438,5,2
77,438,11,2
78,436,9,2
79,435,6,2
80,440,6,2
81,434,2,2
82,432,7,2
83,430,2,2
84,428,5,2
85,425,12,2
86,423,7,2
87,440,9,2
88,438,6,2
89,439,8,2
90,438,5,2
91,440,5,2
92,440,5,2
93,439,3,2
94,467,3,2
95,467,3,2
96,467,1,2
97,466,8,2
98,458,6,2
99,454,9,2
100,445,6,2
101,439,9,2
102,434,10,2
103,434,9,2
104,448,11,2
105,447,5,2
106,461,3,2
107,458,13,2
108,462,7,2
109,458,7,2
110,455,8,2
111,454,9,2
112,450,5,2
113,445,5,2
114,444,8,2
115,439,6,2
116,442,7,2
117,464,4,2
118,466,7,2
119,460,7,2
120,454,6,2
0,446,6,3
1,443,5,3
2,445,6,3
3,443,3,3
4,458,8,3
5,457,3,3
6,458,4,3
7,458,4,3
8,457,3,3
9,454,8,3
10,446,7,3
11,439,4,3
12,446,3,3
13,468,5,3
14,469,6,3
15,476,2,3
16,478,5,3
17,473,6,3
18,467,5,3
19,462,9,3
20,453,8,3
21,446,11,3
22,446,7,3
23,444,12,3
24,441,5,3
25,436,5,3
26,431,11,3
27,441,12,3
28,434,17,3
29,430,10,3
30,426,14,3
31,426,5,3
32,439,8,3
33,437,8,3
34,438,6,3
35,439,6,3
36,436,6,3
37,438,6,3
38,442,3,3
39,442,4,3
40,438,3,3
41,435,3,3
42,432,10,3
43,422,13,3
44,415,9,3
45,422,9,3
46,418,9,3
47,412,8,3
48,405,10,3
49,402,6,3
50,432,11,3
51,431,7,3
52,455,5,3
53,455,9,3
54,454,7,3
55,449,5,3
56,449,4,3
57,451,7,3
58,448,4,3
59,447,3,3
60,444,7,3
61,437,10,3
62,436,7,3
63,440,6,3
64,440,8,3
65,450,11,3
66,448,4,3
67,447,9,3
68,438,9,3
69,429,10,3
70,419,9,3
71,410,14,3
72,404,6,3
73,419,7,3
74,414,8,3
75,406,7,3
76,407,9,3
77,415,6,3
78,420,10,3
79,418,9,3
80,413,9,3
81,412,7,3
82,411,5,3
83,412,8,3
84,410,7,3
85,413,3,3
86,416,4,3
87,423,9,3
88,439,3,3
89,441,5,3
90,436,8,3
91,428,15,3
92,413,6,3
93,438,7,3
94,434,10,3
95,433,12,3
96,430,4,3
97,445,10,3
98,435,3,3
99,436,10,3
100,431,12,3
101,429,4,3
102,426,4,3
103,425,4,3
104,421,9,3
105,415,4,3
106,411,5,3
107,411,6,3
108,405,7,3
109,398,9,3
110,410,9,3
111,436,11,3
112,433,8,3
113,425,10,3
114,415,12,3
115,409,12,3
116,412,11,3
117,428,7,3
118,445,12,3
119,442,6,3
120,437,5,3
0,420,4,4
1,422,7,4
2,415,9,4
3,433,3,4
4,453,7,4
5,446,16,4
6,437,7,4
7,439,8,4
8,438,11,4
9,434,7,4
10,447,9,4
11,442,10,4
12,442,9,4
13,433,6,4
14,446,7,4
15,446,9,4
16,443,8,4
17,440,11,4
18,432,4,4
19,428,6,4
20,422,14,4
21,417,9,4
22,429,9,4
23,420,9,4
24,414,8,4
25,418,5,4
26,424,8,4
27,425,9,4
28,436,6,4
29,434,8,4
30,434,4,4
31,434,5,4
32,429,6,4
33,423,8,4
34,427,5,4
35,425,14,4
36,421,5,4
37,421,4,4
38,420,4,4
39,432,5,4
40,447,9,4
41,449,6,4
42,449,5,4
43,449,5,4
44,444,9,4
45,452,11,4
46,441,12,4
47,438,4,4
48,449,4,4
49,445,13,4
50,435,6,4
51,439,5,4
52,440,5,4
53,435,13,4
54,422,6,4
55,416,13,4
56,405,9,4
57,402,9,4
58,436,9,4
59,433,10,4
60,430,3,4
61,434,9,4
62,428,8,4
63,445,6,4
64,443,6,4
65,440,1,4
66,448,7,4
67,456,4,4
68,452,5,4
69,447,7,4
70,440,7,4
71,433,10,4
72,423,6,4
73,429,9,4
74,436,10,4
75,455,8,4
76,453,3,4
77,451,5,4
78,451,4,4
79,451,6,4
80,450,3,4
81,447,5,4
82,442,10,4
83,432,2,4
84,430,8,4
85,432,10,4
86,425,9,4
87,421,7,4
88,418,5,4
89,417,9,4
90,416,8,4
91,415,5,4
92,428,5,4
93,427,8,4
94,423,3,4
95,436,2,4
