Month,Total number of employees,Number of employees that left,Run
96,457,1,4
97,459,8,4
98,458,3,4
99,462,6,4
100,456,5,4
101,451,8,4
102,452,8,4
103,446,5,4
104,448,3,4
105,445,7,4
106,438,9,4
107,429,8,4
108,442,3,4
109,443,9,4
110,443,6,4
111,440,4,4
112,436,2,4
113,437,4,4
114,433,11,4
115,436,9,4
116,446,8,4
117,445,5,4
118,459,6,4
119,459,6,4
120,455,5,4
0,455,5,5
1,454,6,5
2,448,6,5
3,444,5,5
4,443,5,5
5,441,4,5
6,437,4,5
7,444,3,5
8,444,5,5
9,439,2,5
10,449,4,5
11,466,2,5
12,476,2,5
13,477,1,5
14,480,3,5
15,479,4,5
16,476,2,5
17,477,3,5
18,488,3,5
19,498,3,5
20,495,1,5
21,494,3,5
22,491,5,5
23,494,2,5
24,496,6,5
25,490,0,5
26,490,8,5
27,482,7,5
28,475,9,5
29,466,8,5
30,458,9,5
31,471,7,5
32,468,8,5
33,462,6,5
34,459,7,5
35,457,3,5
36,455,9,5
37,449,9,5
38,464,2,5
39,462,7,5
40,457,10,5
41,453,0,5
42,453,6,5
43,447,8,5
44,442,8,5
45,434,11,5
46,457,9,5
47,452,5,5
48,450,11,5
49,445,7,5
50,443,7,5
51,444,3,5
52,443,4,5
53,458,5,5
54,453,8,5
55,445,5,5
56,440,14,5
57,434,10,5
58,444,7,5
59,457,8,5
60,454,12,5
61,448,12,5
62,448,4,5
63,444,3,5
64,441,13,5
65,428,5,5
66,426,8,5
67,418,12,5
68,409,8,5
69,428,8,5
70,428,4,5
71,428,9,5
72,419,15,5
73,404,10,5
74,394,10,5
75,405,13,5
76,392,12,5
77,380,12,5
78,377,20,5
79,370,14,5
80,389,11,5
81,386,7,5
82,384,15,5
83,382,9,5
84,378,7,5
85,390,9,5
86,394,4,5
87,390,14,5
88,414,10,5
89,404,10,5
90,394,9,5
91,391,6,5
92,409,18,5
93,406,9,5
94,406,7,5
95,405,12,5
96,393,16,5
97,388,10,5
98,378,5,5
99,408,8,5
100,413,10,5
101,420,8,5
102,412,18,5
103,408,12,5
104,396,12,5
105,384,6,5
106,385,6,5
107,402,10,5
108,399,9,5
109,390,16,5
110,399,8,5
111,394,16,5
112,401,8,5
113,441,13,5
114,439,12,5
115,436,6,5
116,436,6,5
117,434,9,5
118,442,5,5
119,443,6,5
120,437,10,5
0,422,9,6
1,420,11,6
2,415,8,6
3,408,12,6
4,401,14,6
5,396,10,6
6,397,5,6
7,400,9,6
8,406,10,6
9,406,6,6
10,405,6,6
11,423,7,6
12,423,4,6
13,424,9,6
14,426,11,6
15,423,7,6
16,416,1,6
17,418,6,6
18,420,8,6
19,421,12,6
20,410,8,6
21,402,8,6
22,401,10,6
23,392,9,6
24,388,10,6
25,383,5,6
26,392,2,6
27,390,6,6
28,388,4,6
29,385,8,6
30,379,5,6
31,374,9,6
32,365,6,6
33,372,12,6
34,371,6,6
35,391,14,6
36,387,7,6
37,386,6,6
38,387,7,6
39,404,6,6
40,398,10,6
41,388,8,6
42,397,9,6
43,399,12,6
44,400,8,6
45,392,9,6
46,384,16,6
47,375,13,6
48,368,10,6
49,385,15,6
50,381,10,6
51,375,7,6
52,394,12,6
53,392,12,6
54,389,3,6
55,400,6,6
56,410,12,6
57,403,11,6
58,397,7,6
59,404,15,6
60,404,6,6
61,403,6,6
62,405,7,6
63,405,8,6
64,408,7,6
65,418,15,6
66,414,5,6
67,409,8,6
68,407,13,6
69,395,12,6
70,415,8,6
71,415,8,6
72,414,11,6
73,428,8,6
74,423,7,6
75,418,8,6
76,413,5,6
77,424,7,6
78,423,10,6
79,418,8,6
80,418,8,6
81,410,6,6
82,408,2,6
83,406,8,6
84,398,17,6
85,406,11,6
86,436,10,6
87,455,2,6
88,454,4,6
89,456,4,6
90,459,6,6
91,457,5,6
92,456,4,6
93,455,8,6
94,450,9,6
95,445,4,6
96,445,5,6
97,442,4,6
98,438,6,6
99,432,7,6
100,433,7,6
101,433,6,6
102,433,9,6
103,434,5,6
104,434,13,6
105,445,4,6
106,447,8,6
107,450,7,6
108,449,3,6
109,449,6,6
110,449,4,6
111,451,3,6
112,452,7,6
113,453,4,6
114,451,5,6
115,449,7,6
116,442,4,6
117,441,7,6
118,434,6,6
119,428,8,6
120,420,11,6
0,449,9,7
1,446,8,7
2,442,2,7
3,442,3,7
4,439,6,7
5,449,2,7
6,452,10,7
7,444,7,7
8,458,0,7
9,466,5,7
10,468,8,7
11,464,6,7
12,459,6,7
13,454,4,7
14,450,7,7
15,443,9,7
16,442,7,7
17,442,8,7
18,434,4,7
19,434,8,7
20,447,9,7
21,463,8,7
22,461,4,7
23,462,7,7
24,460,8,7
25,458,4,7
26,470,9,7
27,466,4,7
28,462,6,7
29,458,3,7
30,455,12,7
31,443,11,7
32,439,8,7
33,437,8,7
34,429,8,7
35,421,11,7
36,420,10,7
37,429,9,7
38,449,11,7
39,451,6,7
40,448,10,7
41,438,12,7
42,426,16,7
43,410,15,7
44,406,13,7
45,411,10,7
46,409,5,7
47,426,9,7
48,419,12,7
49,407,8,7
50,399,9,7
51,392,11,7
52,406,8,7
53,410,13,7
54,404,12,7
55,392,10,7
56,390,5,7
57,391,6,7
58,392,5,7
59,387,9,7
60,414,13,7
61,409,9,7
62,406,11,7
63,395,6,7
64,389,6,7
65,385,15,7
66,423,12,7
67,411,9,7
68,404,6,7
69,402,9,7
70,397,10,7
71,387,7,7
72,402,15,7
73,399,12,7
74,407,18,7
75,401,12,7
76,398,8,7
77,397,19,7
78,381,9,7
79,390,15,7
80,402,11,7
81,408,12,7
82,405,13,7
83,421,10,7
84,418,5,7
85,420,5,7
86,424,8,7
87,424,6,7
88,419,10,7
89,418,3,7
90,415,8,7
91,407,8,7
92,400,15,7
93,387,14,7
94,373,13,7
95,380,9,7
96,381,14,7
97,380,14,7
98,374,10,7
99,371,7,7
100,394,8,7
101,408,10,7
102,405,12,7
103,393,12,7
104,391,13,7
105,405,11,7
106,407,6,7
107,408,12,7
108,396,11,7
109,393,7,7
110,401,11,7
111,401,9,7
112,402,4,7
113,403,8,7
114,404,5,7
115,405,6,7
116,403,0,7
117,406,3,7
118,404,6,7
119,398,10,7
120,393,5,7
0,426,5,8
1,421,9,8
2,435,10,8
3,454,7,8
4,452,3,8
5,453,10,8
6,450,1,8
7,451,2,8
8,449,5,8
9,461,7,8
10,459,10,8
11,456,2,8
12,459,4,8
13,459,5,8
14,459,2,8
15,457,4,8
16,456,8,8
17,456,2,8
18,454,8,8
19,446,6,8
20,440,3,8
21,437,6,8
22,441,2,8
23,439,3,8
24,455,3,8
25,459,7,8
26,458,1,8
27,458,6,8
28,458,3,8
29,455,5,8
30,461,1,8
31,460,6,8
32,455,6,8
33,455,1,8
34,464,2,8
35,465,1,8
36,482,1,8
37,483,1,8
38,483,2,8
39,483,5,8
40,482,2,8
41,480,3,8
42,477,6,8
43,471,4,8
44,467,7,8
45,460,11,8
46,461,6,8
47,455,4,8
48,455,6,8
49,460,4,8
50,461,6,8
51,458,8,8
52,474,4,8
53,475,6,8
54,475,8,8
55,470,4,8
56,467,6,8
57,461,2,8
58,459,1,8
59,458,4,8
60,472,5,8
61,473,2,8
62,471,7,8
63,464,10,8
64,459,9,8
65,454,6,8
66,461,6,8
67,459,5,8
68,454,7,8
69,447,11,8
70,436,7,8
71,429,11,8
72,435,4,8
73,437,8,8
74,436,2,8
75,439,3,8
76,439,6,8
77,451,7,8
78,452,1,8
79,453,6,8
80,469,4,8
81,469,3,8
82,466,3,8
83,466,5,8
84,470,10,8
85,466,7,8
86,460,1,8
87,459,5,8
88,454,7,8
89,452,8,8
90,444,4,8
91,440,12,8
92,430,6,8
93,437,7,8
94,430,9,8
95,432,7,8
96,429,8,8
97,421,13,8
98,408,10,8
99,398,15,8
100,414,13,8
101,409,14,8
102,409,8,8
103,408,6,8
104,413,8,8
105,413,6,8
106,413,11,8
107,411,6,8
108,407,3,8
109,405,7,8
110,404,8,8
111,414,8,8
112,417,9,8
113,418,5,8
114,433,8,8
115,441,4,8
116,447,3,8
117,444,6,8
118,442,1,8
119,441,3,8
120,438,7,8
0,443,6,9
1,439,4,9
2,451,6,9
3,449,9,9
4,455,7,9
5,449,1,9
6,448,3,9
7,451,4,9
8,447,2,9
9,446,11,9
10,442,4,9
11,438,5,9
12,433,10,9
13,424,7,9
14,429,7,9
15,424,11,9
16,420,8,9
17,422,5,9
18,424,5,9
19,425,5,9
20,422,10,9
21,419,3,9
22,423,8,9
23,472,3,9
24,474,7,9
25,469,3,9
26,469,1,9
27,468,4,9
28,478,4,9
29,474,5,9
30,469,7,9
31,463,3,9
32,481,5,9
33,496,4,9
34,496,3,9
35,496,8,9
36,494,3,9
37,492,4,9
38,495,7,9
39,495,1,9
40,497,4,9
41,495,3,9
42,492,1,9
43,498,2,9
44,496,8,9
45,488,3,9
46,485,4,9
47,483,6,9
48,502,7,9
49,495,4,9
50,491,6,9
51,485,3,9
52,482,11,9
53,485,5,9
54,480,11,9
55,469,5,9
56,464,12,9
57,470,7,9
58,463,7,9
59,456,6,9
60,452,9,9
61,449,4,9
62,462,4,9
63,460,10,9
64,450,11,9
65,439,7,9
66,437,8,9
67,434,8,9
68,432,6,9
69,428,7,9
70,433,4,9
71,430,3,9
72,430,7,9
73,423,8,9
74,415,8,9
75,407,10,9
76,410,8,9
77,408,5,9
78,409,11,9
79,441,8,9
80,440,6,9
81,437,3,9
82,454,6,9
83,453,7,9
84,446,9,9
85,446,1,9
86,445,7,9
87,439,6,9
88,433,12,9
89,423,11,9
90,423,13,9
91,423,3,9
92,420,8,9
93,412,10,9
94,405,16,9
95,404,10,9
96,405,9,9
97,420,7,9
98,433,9,9
99,433,3,9
100,430,6,9
101,424,12,9
102,412,7,9
103,410,19,9
104,402,9,9
105,393,7,9
106,403,8,9
107,401,8,9
108,403,8,9
109,395,2,9
110,402,8,9
111,399,8,9
112,395,8,9
113,388,11,9
114,387,10,9
115,393,7,9
116,399,7,9
117,396,3,9
118,410,11,9
119,418,4,9
120,419,8,9
0,400,11,10
1,401,9,10
2,403,7,10
3,408,7,10
4,414,8,10
5,412,9,10
6,429,4,10
7,425,4,10
8,423,9,10
9,414,12,10
10,402,14,10
11,396,5,10
12,396,11,10
13,392,8,10
14,384,14,10
15,379,6,10
16,382,7,10
17,378,10,10
18,376,8,10
19,387,5,10
20,391,7,10
21,402,4,10
22,406,6,10
23,423,7,10
24,432,8,10
25,429,2,10
26,427,2,10
27,438,3,10
28,435,4,10
29,434,2,10
30,432,4,10
31,452,3,10
32,449,7,10
33,458,5,10
34,453,7,10
35,447,9,10
36,442,3,10
37,459,8,10
38,457,5,10
39,458,10,10
40,457,7,10
41,467,6,10
42,461,3,10
43,461,1,10
44,460,5,10
45,456,3,10
46,454,6,10
47,448,6,10
48,442,9,10
49,438,3,10
50,438,7,10
51,439,3,10
52,436,6,10
53,441,9,10
54,438,10,10
55,432,3,10
56,445,5,10
57,470,8,10
58,462,7,10
59,455,9,10
60,458,8,10
61,454,4,10
62,453,9,10
63,450,8,10
64,448,4,10
65,446,0,10
66,446,3,10
67,443,6,10
68,444,16,10
69,439,5,10
70,434,10,10
71,424,5,10
72,424,12,10
73,425,5,10
74,435,10,10
75,425,6,10
76,419,2,10
77,462,7,10
78,459,3,10
79,460,5,10
80,458,4,10
81,461,5,10
82,464,8,10
83,465,4,10
84,468,2,10
85,470,3,10
86,471,1,10
87,473,2,10
88,480,2,10
89,479,4,10
90,480,1,10
91,481,2,10
92,481,2,10
93,479,6,10
94,473,8,10
95,468,6,10
96,462,8,10
97,473,8,10
98,473,6,10
99,468,7,10
100,464,2,10
101,475,8,10
102,478,0,10
103,500,7,10
104,500,1,10
105,499,3,10
106,496,5,10
107,491,6,10
108,485,4,10
109,482,5,10
110,479,10,10
111,481,5,10
112,495,4,10
113,495,5,10
114,496,4,10
115,496,4,10
116,493,5,10
117,494,3,10
118,494,5,10
119,492,6,10
120,486,3,10
0,456,3,11
1,456,3,11
2,471,2,11
3,472,3,11
4,475,2,11
5,473,7,11
6,466,2,11
7,483,4,11
8,483,2,11
9,481,8,11
10,473,7,11
11,466,9,11
12,467,12,11
13,465,4,11
14,464,12,11
15,459,10,11
16,474,5,11
17,474,11,11
18,488,2,11
19,488,5,11
20,488,9,11
21,487,9,11
22,482,1,11
23,506,1,11
24,519,4,11
25,519,3,11
26,516,2,11
27,514,3,11
28,511,1,11
29,510,7,11
30,503,4,11
31,499,4,11
32,495,4,11
33,491,1,11
34,490,0,11
35,490,4,11
36,486,2,11
37,488,2,11
38,486,3,11
39,484,2,11
40,482,3,11
41,480,0,11
42,486,3,11
43,483,7,11
44,476,0,11
45,476,5,11
46,484,6,11
47,478,3,11
48,475,3,11
49,472,4,11
50,468,1,11
51,472,5,11
52,468,6,11
53,462,18,11
54,445,6,11
55,446,9,11
56,460,5,11
57,475,8,11
58,472,10,11
59,462,6,11
60,456,5,11
61,466,6,11
62,466,7,11
63,459,11,11
64,449,10,11
65,447,4,11
66,449,7,11
67,452,11,11
68,466,5,11
69,464,3,11
70,461,11,11
71,470,7,11
72,468,5,11
73,472,3,11
74,469,2,11
75,473,5,11
76,475,2,11
77,474,8,11
78,471,6,11
79,465,3,11
80,466,7,11
81,459,9,11
82,450,4,11
83,465,3,11
84,484,1,11
85,486,5,11
86,486,1,11
87,488,3,11
88,487,3,11
89,497,1,11
90,496,2,11
91,500,6,11
92,499,4,11
93,496,2,11
94,494,5,11
95,489,10,11
96,483,8,11
97,479,11,11
98,468,13,11
99,455,8,11
100,447,10,11
101,437,7,11
102,430,12,11
103,418,7,11
104,411,14,11
105,401,12,11
106,412,7,11
107,425,7,11
108,422,8,11
109,418,11,11
110,424,9,11
111,422,7,11
112,415,9,11
113,424,6,11
114,418,5,11
115,413,16,11
116,400,9,11
117,399,15,11
118,395,8,11
119,395,6,11
120,408,10,11
0,436,10,12
1,427,9,12
2,441,6,12
3,444,6,12
4,438,10,12
5,428,5,12
6,435,11,12
7,450,6,12
8,444,9,12
9,435,9,12
10,426,9,12
11,427,14,12
12,439,12,12
13,440,6,12
14,443,8,12
15,441,3,12
16,442,9,12
17,442,5,12
18,439,9,12
19,430,7,12
20,423,7,12
21,416,9,12
22,407,9,12
23,403,4,12
24,420,9,12
25,433,8,12
26,430,7,12
27,443,15,12
28,439,3,12
29,436,11,12
30,430,6,12
31,431,7,12
32,430,6,12
33,426,9,12
34,428,5,12
35,427,9,12
36,419,11,12
37,410,9,12
38,421,12,12
39,418,10,12
40,415,8,12
41,415,9,12
42,412,4,12
43,411,8,12
44,403,12,12
45,403,3,12
46,403,7,12
47,424,11,12
48,422,7,12
49,432,5,12
50,432,9,12
51,448,7,12
52,446,6,12
53,449,7,12
54,442,3,12
55,441,7,12
56,440,7,12
57,433,10,12
58,423,9,12
59,414,7,12
60,424,10,12
61,431,11,12
62,430,10,12
63,427,13,12
64,426,4,12
65,425,3,12
66,430,7,12
67,428,3,12
68,430,6,12
69,430,2,12
70,428,5,12
71,423,6,12
72,442,13,12
73,447,8,12
74,447,14,12
75,436,7,12
76,429,5,12
77,424,11,12
78,416,12,12
79,413,11,12
80,415,9,12
81,428,12,12
82,423,7,12
83,416,5,12
84,428,13,12
85,420,9,12
86,416,12,12
87,412,3,12
88,419,10,12
89,414,3,12
90,414,2,12
91,412,7,12
92,405,11,12
93,394,11,12
94,383,12,12
95,384,4,12
96,421,6,12
97,421,3,12
98,418,6,12
99,426,12,12
100,414,11,12
101,426,11,12
102,431,11,12
103,424,2,12
104,447,7,12
105,447,7,12
106,444,10,12
107,443,6,12
108,440,3,12
109,438,6,12
110,439,1,12
111,438,6,12
112,436,11,12
113,430,10,12
114,435,4,12
115,442,7,12
116,442,12,12
117,443,5,12
118,444,7,12
119,445,3,12
120,445,8,12
0,434,4,13
1,433,13,13
2,428,7,13
3,429,9,13
4,429,7,13
5,430,4,13
6,432,7,13
7,430,5,13
8,431,4,13
9,438,8,13
10,434,4,13
11,435,9,13
12,426,6,13
13,420,6,13
14,427,7,13
15,424,9,13
16,419,3,13
17,421,5,13
18,421,3,13
19,421,3,13
20,419,3,13
21,430,8,13
22,429,3,13
23,441,5,13
24,460,4,13
25,464,2,13
26,467,5,13
27,466,3,13
28,469,4,13
29,472,5,13
30,471,4,13
31,471,7,13
32,468,3,13
33,469,4,13
34,467,2,13
35,470,7,13
36,463,4,13
37,459,8,13
38,451,9,13
39,442,5,13
40,437,13,13
41,432,9,13
42,443,6,13
43,453,12,13
44,445,11,13
45,440,5,13
46,452,7,13
47,445,9,13
48,442,3,13
49,444,5,13
50,439,6,13
51,433,10,13
52,423,8,13
53,415,10,13
54,405,6,13
55,399,8,13
56,416,6,13
57,410,5,13
58,408,11,13
59,422,6,13
60,420,11,13
61,416,7,13
62,414,6,13
63,408,6,13
64,412,5,13
65,409,10,13
66,404,10,13
67,411,15,13
68,405,10,13
69,402,4,13
70,398,8,13
71,400,8,13
72,408,10,13
73,398,8,13
74,390,3,13
75,394,6,13
76,443,9,13
77,454,11,13
78,450,4,13
79,451,2,13
80,451,3,13
81,452,3,13
82,453,6,13
83,453,5,13
84,466,7,13
85,466,4,13
86,466,2,13
87,465,5,13
88,463,8,13
89,456,4,13
90,457,8,13
91,458,3,13
92,473,2,13
93,471,10,13
94,461,9,13
95,452,7,13
96,445,9,13
97,463,12,13
98,461,5,13
99,459,3,13
100,456,11,13
101,445,9,13
102,458,8,13
103,450,10,13
104,446,5,13
105,445,7,13
106,438,4,13
107,444,6,13
108,438,12,13
109,447,9,13
110,440,11,13
111,435,9,13
112,432,12,13
113,428,5,13
114,426,5,13
115,446,6,13
116,445,0,13
117,450,7,13
118,448,7,13
119,449,5,13
120,452,5,13
0,446,8,14
1,441,4,14
2,441,8,14
3,438,4,14
4,434,6,14
5,428,7,14
6,423,13,14
7,420,8,14
8,417,7,14
9,410,14,14
10,404,7,14
11,412,11,14
12,416,2,14
13,424,7,14
14,421,6,14
15,421,4,14
16,418,7,14
17,411,9,14
18,402,7,14
19,397,8,14
20,389,6,14
21,383,9,14
22,374,18,14
23,365,15,14
24,372,9,14
25,385,15,14
26,381,10,14
27,402,9,14
28,423,6,14
29,424,8,14
30,429,12,14
31,431,7,14
32,424,5,14
33,458,9,14
34,461,7,14
35,459,5,14
36,454,11,14
37,454,10,14
38,448,8,14
39,440,10,14
40,431,6,14
41,425,11,14
42,414,6,14
43,408,3,14
44,421,7,14
45,420,5,14
46,430,2,14
47,433,2,14
48,433,4,14
49,435,7,14
50,453,3,14
51,456,3,14
52,456,5,14
53,456,4,14
54,452,6,14
55,446,8,14
56,458,7,14
57,456,3,14
58,462,5,14
59,460,5,14
60,458,3,14
61,458,3,14
62,477,3,14
63,477,4,14
64,477,4,14
65,473,5,14
66,468,10,14
67,469,5,14
68,464,7,14
69,457,4,14
70,453,4,14
71,449,7,14
72,447,13,14
73,439,14,14
74,453,2,14
75,467,17,14
76,456,6,14
77,455,5,14
78,453,6,14
79,447,6,14
80,444,1,14
81,465,10,14
82,477,5,14
83,475,1,14
84,474,11,14
85,463,10,14
86,453,4,14
87,451,7,14
88,458,6,14
89,458,6,14
90,457,7,14
91,458,2,14
92,467,6,14
93,465,3,14
94,471,7,14
95,486,3,14
96,484,2,14
97,486,1,14
98,485,3,14
99,483,2,14
100,481,5,14
101,476,8,14
102,468,3,14
103,466,8,14
104,462,6,14
105,462,7,14
106,455,6,14
107,451,7,14
108,479,3,14
109,480,13,14
110,473,5,14
111,469,5,14
112,464,5,14
113,461,6,14
114,457,5,14
115,452,6,14
116,451,7,14
117,454,10,14
118,451,9,14
119,450,8,14
120,464,6,14
0,458,4,15
1,475,2,15
2,474,6,15
3,472,4,15
4,468,3,15
5,466,3,15
6,468,3,15
7,469,5,15
8,470,5,15
9,476,7,15
10,475,3,15
11,474,3,15
12,473,2,15
13,485,4,15
14,481,4,15
15,478,5,15
16,479,4,15
17,475,5,15
18,470,6,15
19,464,4,15
20,460,6,15
21,454,4,15
22,450,2,15
23,458,7,15
24,453,6,15
25,473,3,15
26,473,7,15
27,466,6,15
28,460,7,15
29,456,9,15
30,447,8,15
31,439,5,15
32,438,6,15
33,446,9,15
34,442,11,15
35,440,5,15
36,456,4,15
37,454,1,15
38,453,6,15
39,447,2,15
40,445,7,15
41,459,4,15
42,459,11,15
43,448,7,15
44,441,9,15
45,432,11,15
46,421,9,15
47,448,12,15
48,441,7,15
49,442,13,15
