Year,Turnover,Run
1,11.434977578475337,1
2,21.320973348783316,1
3,11.228070175438596,1
4,14.953271028037381,1
5,11.52073732718894,1
6,14.065934065934066,1
7,11.267605633802818,1
8,13.854748603351954,1
9,16.186252771618626,1
10,8.225108225108226,1
1,10.61394380853278,2
2,16.88888888888889,2
3,19.421965317919074,2
4,5.128205128205128,2
5,5.791106514994829,2
6,13.909378292939936,2
7,8.342245989304812,2
8,11.814345991561181,2
9,10.596026490066226,2
10,10.045662100456621,2
1,11.724137931034482,3
2,10.74561403508772,3
3,9.071274298056156,3
4,10.06423982869379,3
5,12.896622313203684,3
6,16.216216216216218,3
7,7.741935483870968,3
8,12.56890848952591,3
9,12.050739957716702,3
10,12.121212121212121,3
1,8.51553509781358,4
2,8.803611738148984,4
3,13.257142857142856,4
4,13.501144164759726,4
5,10.594594594594595,4
6,7.733619763694952,4
7,6.150583244962885,4
8,6.33879781420765,4
9,11.366120218579235,4
10,9.180327868852459,4
1,7.597535934291582,5
2,8.71369294605809,5
3,13.020277481323372,5
4,7.792207792207792,5
5,4.963805584281282,5
6,3.8461538461538463,5
7,8.911917098445596,5
8,8.158995815899582,5
9,22.727272727272727,5
10,17.410714285714285,5
1,15.04237288135593,6
2,13.689839572192513,6
3,13.421342134213422,6
4,13.259668508287293,6
5,6.320081549439347,6
6,4.25531914893617,6
7,5.668016194331984,6
8,12.065439672801636,6
9,16.369359916054567,6
10,13.541666666666666,6
1,14.983713355048861,7
2,18.885096700796357,7
3,11.751412429378531,7
4,8.370044052863436,7
5,9.803921568627452,7
6,12.26725082146769,7
7,12.486064659977703,7
8,13.36206896551724,7
9,11.45945945945946,7
10,12.48654467168999,7
1,8.315565031982942,8
2,17.505470459518598,8
3,12.76595744680851,8
4,12.5,8
5,11.251435132032148,8
6,9.029345372460497,8
7,6.9693769799366425,8
8,10.25081788440567,8
9,8.295964125560538,8
10,13.91304347826087,8
1,11.789473684210526,9
2,5.567010309278351,9
3,4.568023833167826,9
4,4.863813229571985,9
5,5.893909626719057,9
6,3.8383838383838382,9
7,12.51303441084463,9
8,11.075612353567625,9
9,16.75854465270121,9
10,11.212814645308924,9
1,18.446601941747574,10
2,12.183908045977011,10
3,15.367727771679473,10
4,11.752136752136751,10
5,7.586933614330875,10
6,14.912280701754385,10
7,8.611410118406889,10
8,8.401639344262295,10
9,6.477732793522267,10
10,4.689092762487258,10
1,8.441558441558442,11
2,4.554865424430641,11
3,12.566560170394037,11
4,12.733260153677278,11
5,15.238095238095239,11
6,13.033175355450238,11
7,11.630558722919043,11
8,13.048368953880765,11
9,9.649122807017543,11
10,5.4945054945054945,11
1,13.563218390804598,12
2,14.691943127962084,12
3,14.55767077267637,12
4,9.761388286334057,12
5,4.501607717041801,12
6,14.74147414741474,12
7,7.0098576122672505,12
8,11.099020674646356,12
9,9.745762711864407,12
10,12.081984897518879,12
1,4.45859872611465,13
2,7.949790794979079,13
3,8.71413390010627,13
4,4.476093591047812,13
5,10.61394380853278,13
6,13.246471226927254,13
7,7.439824945295405,13
8,4.6255506607929515,13
9,9.57683741648107,13
10,12.866817155756207,13
1,13.692480359147025,14
2,17.309941520467838,14
3,10.955710955710956,14
4,12.661195779601405,14
5,16.94915254237288,14
6,5.470459518599562,14
7,7.4866310160427805,14
8,7.775377969762419,14
9,10.964912280701753,14
10,11.713665943600867,14
1,9.828571428571427,15
2,14.915254237288137,15
3,11.584699453551913,15
4,7.4866310160427805,15
5,7.112970711297072,15
6,8.615384615384615,15
7,19.068255687974,15
8,16.046511627906977,15
9,21.09090909090909,15
10,19.441069258809236,15
1,12.88936627282492,16
2,8.122941822173436,16
3,19.84036488027366,16
4,5.357142857142857,16
5,8.51528384279476,16
6,22.048997772828507,16
7,18.85441527446301,16
8,20.48780487804878,16
9,17.12962962962963,16
10,13.52549889135255,16
1,12.023121387283236,17
2,6.23608017817372,17
3,6.724511930585683,17
4,8.583690987124463,17
5,6.297502714440825,17
6,7.203389830508475,17
7,7.157464212678937,17
8,13.85099685204617,17
9,9.933774834437086,17
10,14.19068736141907,17
1,11.713665943600867,18
2,13.011542497376706,18
3,15.862808145766344,18
4,9.94475138121547,18
5,12.244897959183673,18
6,13.716814159292035,18
7,8.043478260869565,18
8,5.070993914807302,18
9,9.249743062692703,18
10,9.282700421940929,18
1,17.741935483870968,19
2,5.617977528089887,19
3,8.60215053763441,19
4,11.712707182320441,19
5,8.998875140607424,19
6,9.839816933638444,19
7,11.936936936936938,19
8,24.881516587677723,19
9,17.69041769041769,19
10,6.392694063926941,19
1,8.430913348946136,20
2,13.468013468013467,20
3,18.07780320366133,20
4,13.646532438478747,20
5,13.129102844638949,20
6,9.574468085106384,20
7,12.8680479825518,20
8,15.64245810055866,20
9,3.571428571428571,20
10,5.422314911366007,20
1,7.399794450154163,21
2,9.387755102040817,21
3,6.477732793522267,21
4,4.233870967741935,21
5,6.11439842209073,21
6,8.71369294605809,21
7,13.138686131386862,21
8,6.417112299465241,21
9,11.353711790393014,21
10,9.237379162191193,21
1,6.048387096774194,22
2,4.281345565749235,22
3,10.86261980830671,22
4,3.6659877800407332,22
5,7.474747474747474,22
6,11.739594450373533,22
7,11.73913043478261,22
8,7.741935483870968,22
9,7.158351409978309,22
10,11.85510428100988,22
1,9.7165991902834,23
2,13.034623217922606,23
3,11.715481171548117,23
4,4.918032786885246,23
5,11.157894736842106,23
