Month,Total number of employees,Number of employees that left,Run
15,452,4,4
16,448,1,4
17,447,3,4
18,450,2,4
19,451,2,4
20,453,5,4
21,448,0,4
22,448,3,4
23,445,11,4
24,442,0,4
25,442,0,4
26,442,5,4
27,437,11,4
28,426,8,4
29,434,10,4
30,438,6,4
31,432,3,4
32,429,4,4
33,425,2,4
34,423,6,4
35,433,3,4
36,430,4,4
37,448,1,4
38,449,5,4
39,445,10,4
40,444,9,4
41,441,2,4
42,443,6,4
43,442,9,4
44,440,3,4
45,439,3,4
46,442,1,4
47,444,6,4
48,461,3,4
49,458,3,4
50,460,5,4
51,462,1,4
52,463,2,4
53,463,1,4
54,462,5,4
55,457,4,4
56,453,7,4
57,446,5,4
58,447,6,4
59,464,7,4
60,457,7,4
61,459,6,4
62,453,3,4
63,472,2,4
64,472,1,4
65,472,2,4
66,473,3,4
67,472,2,4
68,478,1,4
69,478,1,4
70,478,4,4
71,474,4,4
72,483,3,4
73,480,5,4
74,475,3,4
75,472,0,4
76,472,1,4
77,471,0,4
78,471,3,4
79,468,3,4
80,465,4,4
81,461,1,4
82,464,4,4
83,460,2,4
84,458,2,4
85,464,5,4
86,460,3,4
87,459,3,4
88,457,0,4
89,459,3,4
90,459,3,4
91,456,1,4
92,455,3,4
93,452,2,4
94,454,0,4
95,457,4,4
96,457,7,4
97,455,5,4
98,451,3,4
99,455,2,4
100,453,1,4
101,452,4,4
102,448,4,4
103,444,7,4
104,437,6,4
105,434,1,4
106,444,8,4
107,458,4,4
108,456,4,4
109,455,4,4
110,454,5,4
111,452,2,4
112,453,4,4
113,472,2,4
114,474,5,4
115,472,4,4
116,468,3,4
117,465,2,4
118,463,4,4
119,459,3,4
120,459,5,4
0,483,4,5
1,500,6,5
2,507,4,5
3,505,3,5
4,505,3,5
5,502,2,5
6,500,2,5
7,498,4,5
8,494,3,5
9,494,2,5
10,492,1,5
11,491,3,5
12,488,3,5
13,485,4,5
14,481,5,5
15,476,4,5
16,472,4,5
17,469,2,5
18,469,3,5
19,471,4,5
20,482,3,5
21,481,1,5
22,481,5,5
23,476,4,5
24,484,2,5
25,482,6,5
26,476,6,5
27,470,9,5
28,461,5,5
29,456,9,5
30,460,6,5
31,467,7,5
32,460,2,5
33,458,1,5
34,457,4,5
35,453,4,5
36,453,2,5
37,455,5,5
38,455,1,5
39,456,3,5
40,453,4,5
41,452,5,5
42,447,4,5
43,443,2,5
44,442,4,5
45,445,2,5
46,472,2,5
47,471,2,5
48,473,4,5
49,491,3,5
50,490,2,5
51,489,3,5
52,497,1,5
53,497,1,5
54,497,1,5
55,496,3,5
56,497,1,5
57,496,1,5
58,495,1,5
59,494,3,5
60,491,2,5
61,490,3,5
62,489,3,5
63,490,3,5
64,487,0,5
65,499,2,5
66,500,2,5
67,500,2,5
68,498,0,5
69,498,0,5
70,498,1,5
71,497,1,5
72,496,1,5
73,495,2,5
74,493,3,5
75,492,2,5
76,490,1,5
77,489,6,5
78,483,5,5
79,478,1,5
80,484,4,5
81,481,2,5
82,479,10,5
83,469,6,5
84,463,5,5
85,458,3,5
86,455,4,5
87,463,5,5
88,465,3,5
89,483,4,5
90,483,5,5
91,482,5,5
92,481,1,5
93,481,2,5
94,479,1,5
95,493,1,5
96,492,4,5
97,488,7,5
98,481,8,5
99,473,11,5
100,472,13,5
101,465,8,5
102,457,7,5
103,450,12,5
104,441,9,5
105,440,10,5
106,434,11,5
107,432,5,5
108,427,7,5
109,420,8,5
110,412,6,5
111,420,9,5
112,437,7,5
113,433,3,5
114,451,10,5
115,441,7,5
116,450,6,5
117,453,6,5
118,448,3,5
119,469,6,5
120,477,3,5
0,470,7,6
1,464,6,6
2,465,7,6
3,461,8,6
4,453,5,6
5,448,8,6
6,461,8,6
7,474,4,6
8,470,7,6
9,463,5,6
10,475,2,6
11,474,4,6
12,473,5,6
13,468,4,6
14,464,5,6
15,459,9,6
16,450,7,6
17,443,7,6
18,447,4,6
19,446,3,6
20,446,7,6
21,446,6,6
22,448,6,6
23,462,1,6
24,463,4,6
25,464,3,6
26,463,4,6
27,459,6,6
28,453,5,6
29,454,4,6
30,455,8,6
31,453,7,6
32,449,4,6
33,445,3,6
34,456,11,6
35,446,2,6
36,445,8,6
37,437,5,6
38,437,5,6
39,438,7,6
40,434,3,6
41,450,6,6
42,444,4,6
43,442,7,6
44,455,8,6
45,458,3,6
46,461,2,6
47,460,2,6
48,477,5,6
49,479,6,6
50,489,1,6
51,500,0,6
52,501,4,6
53,501,5,6
54,502,3,6
55,502,1,6
56,504,1,6
57,504,1,6
58,503,2,6
59,504,2,6
60,503,0,6
61,503,0,6
62,503,0,6
63,503,0,6
64,503,3,6
65,500,1,6
66,499,2,6
67,497,1,6
68,496,5,6
69,491,3,6
70,488,4,6
71,484,2,6
72,482,3,6
73,479,2,6
74,477,6,6
75,476,4,6
76,477,3,6
77,475,2,6
78,475,1,6
79,490,1,6
80,491,1,6
81,503,0,6
82,508,2,6
83,506,3,6
84,503,3,6
85,500,2,6
86,498,5,6
87,493,6,6
88,487,10,6
89,500,2,6
90,498,4,6
91,494,7,6
92,487,3,6
93,484,3,6
94,481,6,6
95,475,8,6
96,467,7,6
97,492,10,6
98,482,7,6
99,475,6,6
100,469,7,6
101,465,6,6
102,475,3,6
103,472,9,6
104,468,9,6
105,466,2,6
106,474,7,6
107,486,5,6
108,481,1,6
109,480,6,6
110,474,5,6
111,469,8,6
112,465,8,6
113,468,7,6
114,463,5,6
115,460,7,6
116,453,8,6
117,458,1,6
118,480,4,6
119,479,5,6
120,480,3,6
0,465,8,7
1,457,4,7
2,453,8,7
3,445,10,7
4,435,3,7
5,432,6,7
6,433,3,7
7,434,8,7
8,451,5,7
9,449,1,7
10,461,5,7
11,456,8,7
12,448,4,7
13,448,10,7
14,450,6,7
15,457,7,7
16,457,4,7
17,457,8,7
18,449,5,7
19,444,8,7
20,440,8,7
21,440,11,7
22,435,9,7
23,431,3,7
24,428,4,7
25,437,3,7
26,436,6,7
27,448,4,7
28,450,3,7
29,448,3,7
30,469,4,7
31,465,3,7
32,462,4,7
33,463,6,7
34,457,7,7
35,457,5,7
36,458,6,7
37,460,2,7
38,460,3,7
39,461,3,7
40,462,2,7
41,460,0,7
42,463,2,7
43,461,6,7
44,455,4,7
45,451,2,7
46,452,2,7
47,450,6,7
48,459,3,7
49,459,5,7
50,454,3,7
51,451,0,7
52,466,3,7
53,463,5,7
54,458,5,7
55,453,4,7
56,457,5,7
57,459,4,7
58,459,4,7
59,459,4,7
60,458,3,7
61,458,5,7
62,455,3,7
63,453,2,7
64,451,2,7
65,449,6,7
66,443,3,7
67,455,3,7
68,475,8,7
69,467,2,7
70,465,10,7
71,455,9,7
72,446,9,7
73,442,3,7
74,458,5,7
75,456,6,7
76,456,7,7
77,453,3,7
78,465,4,7
79,466,1,7
80,466,0,7
81,466,10,7
82,456,6,7
83,451,2,7
84,451,5,7
85,467,2,7
86,465,3,7
87,462,6,7
88,461,9,7
89,458,4,7
90,458,6,7
91,456,3,7
92,455,10,7
93,463,6,7
94,463,3,7
95,477,5,7
96,474,7,7
97,471,3,7
98,468,2,7
99,466,3,7
100,463,4,7
101,459,6,7
102,453,7,7
103,451,2,7
104,461,1,7
105,462,4,7
106,458,9,7
107,451,5,7
108,462,3,7
109,462,7,7
110,463,4,7
111,480,1,7
112,479,5,7
113,474,3,7
114,471,7,7
115,468,6,7
116,468,4,7
117,468,9,7
118,459,6,7
119,467,3,7
120,467,10,7
0,467,4,8
1,468,3,8
2,470,3,8
3,469,1,8
4,489,0,8
5,491,2,8
6,489,2,8
7,487,2,8
8,485,4,8
9,481,3,8
10,478,7,8
11,471,8,8
12,464,4,8
13,479,4,8
14,475,5,8
15,470,8,8
16,465,6,8
17,459,4,8
18,458,4,8
19,454,8,8
20,446,13,8
21,434,11,8
22,434,7,8
23,450,6,8
24,450,7,8
25,448,7,8
26,445,7,8
27,458,3,8
28,458,3,8
29,459,3,8
30,460,7,8
31,458,1,8
32,458,4,8
33,454,6,8
34,448,5,8
35,443,4,8
36,439,5,8
37,436,9,8
38,433,1,8
39,449,11,8
40,443,1,8
41,450,2,8
42,451,8,8
43,458,6,8
44,459,5,8
45,459,4,8
46,459,3,8
47,457,1,8
48,457,2,8
49,455,3,8
50,452,6,8
51,446,2,8
52,444,1,8
53,443,11,8
54,432,4,8
55,428,3,8
56,425,2,8
57,423,6,8
58,419,5,8
59,414,4,8
60,413,5,8
61,408,5,8
62,421,4,8
63,417,6,8
64,415,5,8
65,425,2,8
66,445,3,8
67,459,1,8
68,477,5,8
69,475,1,8
70,475,2,8
71,473,1,8
72,472,1,8
73,471,3,8
74,468,1,8
75,467,5,8
76,479,2,8
77,484,3,8
78,483,3,8
79,484,1,8
80,485,7,8
81,480,3,8
82,477,2,8
83,475,2,8
84,473,6,8
85,467,5,8
86,462,1,8
87,461,6,8
88,455,7,8
89,448,5,8
90,448,1,8
91,448,5,8
92,445,3,8
93,446,2,8
94,445,5,8
95,444,1,8
96,456,4,8
97,454,1,8
98,453,0,8
99,453,2,8
100,451,3,8
101,448,4,8
102,444,3,8
103,441,1,8
104,440,2,8
105,445,8,8
106,443,7,8
107,436,2,8
108,454,2,8
109,460,4,8
110,458,7,8
111,457,5,8
112,459,2,8
113,464,4,8
114,460,8,8
115,457,3,8
116,457,5,8
117,452,7,8
118,467,9,8
119,466,8,8
120,466,3,8
0,478,3,9
1,475,3,9
2,478,6,9
3,473,0,9
4,473,3,9
5,470,9,9
6,461,6,9
7,473,5,9
8,468,7,9
9,461,4,9
10,457,6,9
11,472,4,9
12,473,7,9
13,489,1,9
14,490,4,9
15,488,2,9
16,490,2,9
17,492,4,9
18,492,2,9
19,492,0,9
20,493,3,9
21,493,2,9
22,495,0,9
23,497,0,9
24,497,0,9
25,500,1,9
26,499,4,9
27,495,0,9
28,495,1,9
29,494,2,9
30,492,1,9
31,491,4,9
32,505,0,9
33,505,7,9
34,512,2,9
35,510,1,9
36,509,1,9
37,508,1,9
38,520,1,9
39,519,5,9
40,516,0,9
41,518,2,9
42,517,2,9
43,515,2,9
44,513,2,9
45,511,3,9
46,513,2,9
47,519,4,9
48,517,2,9
49,517,1,9
50,516,1,9
51,515,8,9
52,507,5,9
53,502,3,9
54,499,3,9
55,496,1,9
56,497,1,9
57,500,3,9
58,499,1,9
59,501,1,9
60,500,0,9
61,500,1,9
62,499,3,9
63,496,2,9
64,503,3,9
65,500,1,9
66,499,2,9
67,497,2,9
68,495,3,9
69,492,1,9
70,491,1,9
71,490,0,9
72,490,4,9
73,486,5,9
74,481,5,9
75,476,8,9
76,468,13,9
77,455,6,9
78,454,7,9
79,465,4,9
80,463,3,9
81,463,3,9
82,469,1,9
83,469,1,9
84,469,1,9
85,488,2,9
86,486,5,9
87,483,3,9
88,485,7,9
89,478,3,9
90,475,6,9
91,470,7,9
92,469,3,9
93,468,6,9
94,462,6,9
95,470,3,9
96,467,6,9
97,461,10,9
98,451,12,9
99,439,7,9
100,432,5,9
101,427,13,9
102,421,2,9
103,421,5,9
104,416,2,9
105,434,6,9
106,442,4,9
107,440,4,9
108,440,1,9
109,440,5,9
110,441,5,9
111,439,1,9
112,438,2,9
113,436,1,9
114,436,4,9
115,432,8,9
116,428,5,9
117,443,5,9
118,441,7,9
119,434,5,9
120,436,1,9
0,408,8,10
1,409,5,10
2,428,9,10
3,426,2,10
4,428,1,10
5,427,4,10
6,423,8,10
7,431,6,10
8,425,10,10
9,421,7,10
10,419,12,10
11,416,4,10
12,415,9,10
13,416,3,10
14,417,3,10
15,416,8,10
16,414,7,10
17,408,6,10
18,407,3,10
19,418,2,10
20,422,4,10
21,422,2,10
22,437,3,10
23,455,3,10
24,454,3,10
25,451,5,10
26,446,9,10
27,437,8,10
28,434,14,10
29,435,5,10
30,448,9,10
31,457,5,10
32,463,3,10
33,463,2,10
34,461,4,10
35,457,3,10
36,454,4,10
37,450,2,10
38,448,6,10
39,447,6,10
40,466,6,10
41,462,6,10
42,461,6,10
43,462,5,10
44,478,2,10
45,479,7,10
46,480,4,10
47,482,1,10
48,484,2,10
49,484,2,10
50,485,1,10
51,487,2,10
52,486,3,10
53,486,2,10
54,484,2,10
55,482,2,10
56,480,4,10
57,476,6,10
58,470,5,10
59,465,5,10
60,460,8,10
61,452,7,10
62,445,6,10
63,449,8,10
64,442,6,10
65,436,7,10
66,456,5,10
67,454,4,10
68,450,6,10
69,458,2,10
70,456,4,10
71,452,5,10
72,447,9,10
73,453,1,10
74,452,6,10
75,457,4,10
76,463,2,10
77,466,2,10
78,468,1,10
79,489,3,10
80,486,1,10
81,485,2,10
82,483,1,10
83,482,8,10
84,481,3,10
85,482,2,10
86,481,3,10
87,481,1,10
88,489,0,10
89,489,4,10
90,485,6,10
91,479,1,10
92,478,9,10
93,469,3,10
94,494,6,10
95,495,3,10
96,495,2,10
97,495,1,10
98,494,7,10
99,487,3,10
100,497,2,10
101,495,1,10
102,494,6,10
103,495,3,10
104,494,2,10
105,494,1,10
106,494,3,10
107,493,1,10
108,492,1,10
109,491,6,10
110,485,2,10
111,485,1,10
112,484,2,10
113,482,3,10
114,479,1,10
115,494,0,10
116,494,2,10
117,492,0,10
118,492,3,10
119,489,2,10
120,487,2,10
0,445,5,11
1,443,1,11
2,442,6,11
3,448,6,11
4,462,4,11
5,473,4,11
6,474,2,11
7,474,1,11
8,475,4,11
9,474,5,11
10,479,0,11
11,479,1,11
12,480,2,11
13,480,2,11
14,479,3,11
15,479,2,11
16,477,4,11
17,491,0,11
18,491,1,11
19,490,0,11
20,490,3,11
21,487,4,11
22,486,0,11
23,486,1,11
24,485,7,11
25,479,3,11
26,479,6,11
27,473,8,11
28,465,3,11
29,473,3,11
30,474,1,11
31,473,5,11
32,468,5,11
33,465,8,11
34,458,6,11
35,454,4,11
36,470,4,11
37,466,6,11
38,460,3,11
39,462,8,11
40,454,6,11
41,448,7,11
42,455,6,11
43,452,4,11
44,452,5,11
45,447,5,11
46,442,1,11
47,441,3,11
48,438,6,11
49,432,2,11
50,430,5,11
51,425,3,11
52,422,4,11
53,418,7,11
54,412,3,11
55,409,6,11
56,421,6,11
57,419,9,11
58,410,8,11
59,402,5,11
60,397,10,11
61,392,4,11
62,391,5,11
63,390,4,11
64,395,7,11
65,427,3,11
66,440,7,11
67,450,1,11
68,450,2,11
69,453,4,11
70,449,2,11
71,447,6,11
72,441,4,11
73,437,3,11
74,439,6,11
75,437,2,11
76,446,6,11
77,444,7,11
78,442,1,11
79,442,4,11
80,438,6,11
81,432,6,11
82,431,3,11
83,436,3,11
84,433,4,11
85,429,4,11
86,425,4,11
87,421,9,11
88,422,7,11
89,419,5,11
90,436,4,11
91,451,4,11
92,447,8,11
93,444,3,11
94,442,3,11
95,456,3,11
96,464,5,11
97,463,1,11
98,463,7,11
99,462,4,11
100,462,5,11
101,461,0,11
102,461,5,11
103,456,0,11
104,456,7,11
105,453,3,11
106,450,2,11
107,448,5,11
108,443,4,11
109,439,5,11
110,436,3,11
111,433,3,11
112,433,0,11
113,433,2,11
114,452,2,11
115,452,1,11
116,469,0,11
117,469,0,11
118,469,2,11
119,467,3,11
120,464,3,11
0,449,6,12
1,450,4,12
2,449,5,12
3,447,2,12
4,445,6,12
5,453,2,12
6,451,4,12
7,447,7,12
8,440,4,12
9,436,6,12
10,430,9,12
11,421,4,12
12,417,9,12
13,408,4,12
14,410,6,12
15,407,7,12
16,404,4,12
17,403,6,12
18,406,4,12
19,407,3,12
20,422,2,12
21,422,4,12
22,423,6,12
23,427,7,12
24,448,6,12
25,453,6,12
26,452,4,12
27,448,6,12
28,442,8,12
29,434,3,12
30,431,4,12
31,427,5,12
32,440,9,12
33,442,5,12
34,442,4,12
35,445,5,12
36,461,5,12
37,459,6,12
38,457,4,12
39,455,1,12
40,454,7,12
41,448,3,12
42,451,4,12
43,466,3,12
44,467,3,12
45,466,4,12
46,462,3,12
47,461,2,12
48,459,1,12
49,471,0,12
50,471,2,12
51,484,0,12
52,487,4,12
53,484,0,12
54,484,2,12
55,482,0,12
56,482,3,12
57,479,2,12
58,477,3,12
59,474,4,12
60,470,3,12
61,467,7,12
62,460,4,12
63,456,2,12
64,454,8,12
65,446,7,12
66,443,1,12
67,442,11,12
68,431,7,12
69,430,3,12
70,427,6,12
71,439,8,12
72,435,6,12
73,435,6,12
74,454,5,12
75,454,2,12
76,459,3,12
77,457,1,12
78,457,2,12
79,459,0,12
80,460,1,12
81,461,2,12
82,459,1,12
83,478,3,12
84,476,4,12
85,474,5,12
86,474,2,12
87,472,6,12
88,468,6,12
89,464,4,12
90,461,1,12
91,460,5,12
92,455,7,12
93,448,5,12
94,443,2,12
95,443,4,12
96,467,0,12
97,467,5,12
98,483,4,12
99,483,2,12
100,482,1,12
101,483,2,12
102,481,4,12
103,477,3,12
104,474,8,12
105,466,10,12
106,475,5,12
107,477,2,12
108,477,1,12
109,476,5,12
110,471,1,12
111,486,2,12
112,484,4,12
113,480,3,12
114,477,6,12
115,471,10,12
116,461,7,12
117,454,6,12
118,454,8,12
119,450,3,12
120,447,6,12
0,457,6,13
1,456,2,13
2,456,3,13
3,467,1,13
4,467,0,13
5,467,0,13
6,469,2,13
7,481,1,13
8,481,1,13
9,483,0,13
10,485,4,13
11,485,1,13
12,486,4,13
13,486,1,13
14,485,1,13
15,489,1,13
16,488,1,13
17,487,4,13
18,483,5,13
19,478,5,13
20,481,4,13
21,477,5,13
22,472,4,13
23,470,3,13
24,467,2,13
25,481,1,13
26,480,6,13
27,474,6,13
28,468,3,13
29,465,4,13
30,461,1,13
31,460,4,13
32,456,5,13
33,457,1,13
34,460,6,13
35,474,2,13
36,489,5,13
37,490,0,13
38,490,1,13
39,492,3,13
40,494,2,13
41,493,2,13
42,493,1,13
43,493,0,13
44,494,2,13
45,497,2,13
46,495,1,13
47,494,3,13
48,491,4,13
49,487,2,13
50,485,6,13
51,479,4,13
52,475,7,13
53,474,4,13
54,475,2,13
55,476,7,13
56,476,1,13
57,477,4,13
58,473,3,13
59,470,7,13
60,463,3,13
61,460,5,13
62,455,5,13
63,451,5,13
64,474,3,13
65,471,6,13
66,465,9,13
67,461,7,13
68,456,9,13
69,453,3,13
70,456,3,13
71,458,3,13
72,458,4,13
73,454,3,13
74,468,3,13
75,469,6,13
76,468,1,13
77,471,3,13
78,470,2,13
79,468,5,13
80,463,3,13
81,460,2,13
82,458,2,13
83,456,0,13
84,456,1,13
85,455,2,13
86,453,7,13
87,447,1,13
88,460,1,13
89,459,2,13
90,457,0,13
91,457,1,13
92,456,0,13
93,456,2,13
94,454,2,13
95,452,2,13
96,450,6,13
97,444,4,13
98,451,2,13
99,451,7,13
100,451,3,13
101,454,2,13
102,452,4,13
103,448,3,13
104,454,5,13
105,449,2,13
106,448,0,13
107,448,5,13
108,443,3,13
109,440,8,13
110,432,4,13
111,431,3,13
112,434,0,13
113,434,4,13
114,454,3,13
115,453,6,13
116,451,6,13
117,452,3,13
118,449,6,13
119,443,11,13
120,434,7,13
0,455,1,14
1,456,8,14
2,448,3,14
3,448,7,14
4,441,5,14
5,436,5,14
6,431,8,14
7,425,4,14
8,423,7,14
9,439,3,14
10,440,7,14
11,436,3,14
12,433,4,14
13,433,5,14
14,428,4,14
15,424,7,14
16,417,7,14
17,410,4,14
18,406,9,14
19,413,10,14
20,410,5,14
21,409,11,14
22,422,4,14
23,422,4,14
24,422,5,14
25,422,3,14
26,426,3,14
27,425,3,14
28,425,3,14
29,426,2,14
30,424,5,14
31,422,2,14
32,420,6,14
33,436,10,14
34,438,2,14
35,436,3,14
36,433,8,14
37,434,5,14
38,434,6,14
39,432,2,14
40,431,2,14
41,429,4,14
42,427,3,14
43,435,4,14
44,435,5,14
45,430,4,14
46,426,6,14
47,420,5,14
48,428,7,14
49,428,4,14
50,424,5,14
51,419,10,14
52,426,15,14
53,429,5,14
54,443,6,14
55,442,9,14
56,459,6,14
57,459,4,14
58,457,2,14
59,457,2,14
60,457,4,14
61,455,1,14
62,457,3,14
63,456,0,14
64,456,6,14
65,450,0,14
66,451,1,14
67,450,0,14
68,450,2,14
69,462,2,14
70,460,3,14
71,457,3,14
72,469,0,14
73,469,0,14
74,469,0,14
75,469,2,14
76,467,4,14
77,463,6,14
78,460,7,14
79,457,5,14
80,456,2,14
81,458,4,14
82,458,2,14
83,466,3,14
84,463,2,14
85,480,1,14
86,479,1,14
87,478,2,14
88,486,1,14
89,486,2,14
90,484,3,14
91,481,3,14
92,478,1,14
93,477,4,14
94,473,10,14
95,463,6,14
96,457,3,14
97,455,5,14
98,471,7,14
99,467,7,14
100,480,5,14
101,476,3,14
102,473,3,14
103,470,4,14
104,466,6,14
105,460,4,14
106,456,1,14
107,455,2,14
108,470,9,14
109,461,4,14
110,460,3,14
111,463,4,14
112,476,5,14
113,474,5,14
114,472,3,14
115,469,3,14
116,466,8,14
117,458,5,14
118,455,3,14
119,452,2,14
120,450,6,14
0,426,3,15
1,426,3,15
2,446,4,15
3,447,5,15
4,461,3,15
5,460,2,15
6,460,5,15
7,460,2,15
8,458,3,15
9,455,4,15
10,451,3,15
11,449,6,15
12,455,4,15
13,451,4,15
14,447,6,15
15,441,2,15
16,439,6,15
17,433,6,15
18,446,11,15
19,435,5,15
20,430,4,15
21,432,6,15
22,430,7,15
23,430,5,15
24,448,7,15
25,442,3,15
26,456,6,15
27,455,4,15
28,470,2,15
29,468,3,15
30,465,6,15
31,463,8,15
32,460,6,15
33,463,2,15
34,461,4,15
35,467,2,15
36,466,4,15
37,485,1,15
38,484,2,15
39,482,3,15
40,479,0,15
41,484,3,15
42,483,6,15
43,481,2,15
44,479,3,15
45,476,3,15
46,473,4,15
47,469,4,15
48,465,2,15
49,463,7,15
