Year,Turnover,Run
1,12.284482758620689,1
2,11.494252873563218,1
3,23.982398239823983,1
4,22.883295194508012,1
5,18.439716312056735,1
6,21.11368909512761,1
7,23.487544483985765,1
8,24.878048780487806,1
9,25.400739827373613,1
10,31.290743155149936,1
1,14.096916299559473,2
2,17.845484221980414,2
3,21.122112211221122,2
4,27.72511848341232,2
5,23.115577889447238,2
6,25.91283863368669,2
7,20.578034682080926,2
8,15.865921787709498,2
9,19.45945945945946,2
10,17.35357917570499,2
1,13.785310734463277,3
2,17.752808988764045,3
3,24.31818181818182,3
4,19.57547169811321,3
5,18.30985915492958,3
6,24.355971896955502,3
7,22.30392156862745,3
8,21.11506524317912,3
9,17.8359096313912,3
10,26.9185360094451,3
1,22.73781902552204,4
2,23.4338747099768,4
3,20.500595947556615,4
4,18.39348079161816,4
5,23.12925170068027,4
6,16.917728852838934,4
7,16.608187134502923,4
8,18.244803695150118,4
9,16.02708803611738,4
10,16.204217536071035,4
1,11.074918566775244,5
2,6.5979381443298974,5
3,16.369359916054567,5
4,18.5226019845645,5
5,19.625137816979052,5
6,22.22222222222222,5
7,36.95380774032459,5
8,29.374201787994892,5
9,30.440251572327043,5
10,27.078384798099762,5
1,25.325443786982248,6
2,22.822085889570552,6
3,22.33632862644416,6
4,29.133858267716533,6
5,31.088082901554404,6
6,25.152625152625152,6
7,21.463414634146343,6
8,19.9288256227758,6
9,18.100558659217878,6
10,14.59521094640821,6
1,14.457831325301203,7
2,17.58957654723127,7
3,20.885357548240634,7
4,29.78723404255319,7
5,26.799007444168733,7
6,28.214731585518106,7
7,37.424058323207774,7
8,26.065162907268167,7
9,32.69961977186312,7
10,20.151133501259448,7
1,16.099773242630384,8
2,11.804008908685969,8
3,9.130434782608695,8
4,11.099252934898612,8
5,12.924424972617743,8
6,19.08990011098779,8
7,11.542730299667037,8
8,18.403547671840354,8
9,28.095238095238095,8
10,15.330188679245282,8
1,14.074914869466514,9
2,18.121546961325965,9
3,11.134020618556702,9
4,9.416581371545547,9
5,17.536534446764094,9
6,18.367346938775512,9
7,19.70554926387316,9
8,24.941176470588236,9
9,25.806451612903224,9
10,21.193666260657736,9
1,24.87437185929648,10
2,22.71062271062271,10
3,12.741751990898747,10
4,14.157303370786517,10
5,17.61426978818283,10
6,17.687074829931973,10
7,15.973003374578179,10
8,8.333333333333332,10
9,12.801678908709338,10
10,12.282497441146365,10
1,11.279826464208242,11
2,16.649537512846866,11
3,7.333994053518335,11
4,7.468879668049793,11
5,17.28922091782284,11
6,18.790496760259177,11
7,12.218649517684888,11
8,8.83864337101747,11
9,25.55066079295154,11
10,26.682986536107713,11
1,24.10196987253766,12
2,20.902612826603324,12
3,22.43211334120425,12
4,24.67378410438909,12
5,20.095693779904305,12
6,18.890200708382526,12
7,26.573426573426573,12
8,23.891625615763548,12
9,21.296296296296298,12
10,16.94915254237288,12
1,18.642117376294593,13
2,14.071510957324108,13
3,10.75268817204301,13
4,21.58590308370044,13
5,19.444444444444446,13
6,24.390243902439025,13
7,16.260162601626014,13
8,15.032679738562091,13
9,20.022497187851517,13
10,19.84216459977452,13
1,22.61072261072261,14
2,25.096030729833547,14
3,24.548736462093864,14
4,18.26381059751973,14
5,13.437849944008958,14
6,13.009922822491731,14
7,18.655097613882862,14
8,15.0,14
9,12.406417112299465,14
10,17.653390742734125,14
1,10.300429184549357,15
2,11.385606874328678,15
3,18.365061590145576,15
4,18.36283185840708,15
5,16.035634743875278,15
6,17.61426978818283,15
7,26.15740740740741,15
8,24.85207100591716,15
9,25.487944890929963,15
10,11.936936936936938,15
1,20.229885057471265,16
2,15.22491349480969,16
3,18.906605922551254,16
4,15.735461801596351,16
5,12.931034482758621,16
6,6.147540983606557,16
7,8.1799591002045,16
8,16.851441241685144,16
9,11.587485515643106,16
