Year,Mean number of employees,Number of employees that left,Accumulated number of employees that left
1,499,2,2
2,530,3,5
3,538,14,19
4,541,10,29
5,538,2,31
6,531,17,48
7,517,18,66
8,490,35,101
9,449,51,152
10,409,17,169
11,397,24,193
12,408,2,195
13,414,2,197
14,420,11,208
15,425,7,215
16,428,7,222
17,434,2,224
18,451,0,224
19,458,0,224
20,458,0,224
21,461,0,224
22,469,2,226
23,468,9,235
24,466,11,246
25,465,11,257
26,467,4,261
27,465,3,264
28,460,3,267
29,459,1,268
30,458,0,268
31,465,8,276
32,465,14,290
33,474,10,300
34,491,7,307
35,488,5,312
36,480,9,321
37,483,0,321
38,487,3,324
39,484,2,326
40,479,11,337
41,464,18,355
42,443,32,387
43,431,28,415
44,428,13,428
45,427,21,449
46,410,45,494
47,411,47,541
48,404,32,573
49,389,13,586
50,394,10,596
51,399,6,602
52,409,13,615
53,408,7,622
54,402,5,627
55,403,16,643
56,418,9,652
57,423,3,655
58,439,4,659
59,443,2,661
60,439,12,673
61,429,20,693
62,426,3,696
63,423,1,697
64,422,7,704
65,410,18,722
66,393,33,755
67,412,22,777
68,410,23,800
69,398,9,809
70,423,6,815
71,433,6,821
72,431,1,822
73,433,2,824
74,431,0,824
75,434,0,824
76,450,1,825
77,458,0,825
78,459,0,825
79,459,0,825
80,457,3,828
81,457,0,828
82,458,6,834
83,467,2,836
84,469,4,840
85,469,9,849
86,456,23,872
87,428,39,911
88,436,6,917
89,460,3,920
90,461,1,921
91,461,2,923
92,459,2,925
93,455,4,929
94,449,14,943
95,446,23,966
96,439,9,975
97,436,3,978
98,433,3,981
99,450,3,984
100,453,6,990
101,451,15,1005
102,434,14,1019
103,446,6,1025
104,437,16,1041
105,448,14,1055
106,456,16,1071
107,482,1,1072
108,492,4,1076
109,488,0,1076
110,488,3,1079
111,481,7,1086
112,477,4,1090
113,474,0,1090
114,474,1,1091
115,472,1,1092
116,474,0,1092
117,475,2,1094
118,476,0,1094
119,491,2,1096
120,507,0,1096
121,507,2,1098
122,503,6,1104
123,498,10,1114
124,491,15,1129
125,482,12,1141
126,461,27,1168
127,441,20,1188
128,430,24,1212
129,439,23,1235
130,438,18,1253
131,436,25,1278
132,410,36,1314
133,391,44,1358
134,378,42,1400
135,399,8,1408
136,402,12,1420
137,407,12,1432
138,396,35,1467
139,393,20,1487
140,397,13,1500
141,408,13,1513
142,404,5,1518
143,402,14,1532
144,401,5,1537
145,400,8,1545
146,398,14,1559
147,403,16,1575
148,402,25,1600
149,412,16,1616
150,409,8,1624
151,413,19,1643
152,418,10,1653
153,432,7,1660
154,454,12,1672
155,461,12,1684
156,459,13,1697
157,456,7,1704
158,454,7,1711
159,452,9,1720
160,460,3,1723
161,476,5,1728
162,476,2,1730
163,474,3,1733
164,471,7,1740
165,461,7,1747
166,458,6,1753
167,453,5,1758
168,458,15,1773
169,464,21,1794
170,441,30,1824
171,421,5,1829
172,425,9,1838
173,425,14,1852
174,437,3,1855
175,442,3,1858
176,451,9,1867
177,448,10,1877
178,448,16,1893
179,453,10,1903
180,455,9,1912
181,436,28,1940
182,412,43,1983
183,405,12,1995
184,407,7,2002
185,417,6,2008
186,436,4,2012
187,443,8,2020
188,441,13,2033
189,435,12,2045
190,430,30,2075
191,418,22,2097
192,400,18,2115
193,404,26,2141
194,439,10,2151
195,442,12,2163
196,431,14,2177
197,420,7,2184
