Year,Mean number of employees,Number of employees that left,Accumulated number of employees that left
198,420,9,2193
199,418,1,2194
200,427,0,2194
201,435,0,2194
202,437,0,2194
203,437,0,2194
204,436,2,2196
205,439,0,2196
206,456,0,2196
207,463,0,2196
208,463,0,2196
209,463,0,2196
210,463,1,2197
211,463,5,2202
212,466,6,2208
213,470,10,2218
214,467,15,2233
215,459,18,2251
216,458,9,2260
217,459,17,2277
218,465,8,2285
219,489,16,2301
220,482,12,2313
221,478,6,2319
222,474,5,2324
223,470,6,2330
224,462,14,2344
225,459,21,2365
226,464,18,2383
227,453,13,2396
228,454,11,2407
229,455,11,2418
230,443,14,2432
231,451,8,2440
232,449,3,2443
233,453,0,2443
234,464,1,2444
235,463,1,2445
236,462,4,2449
237,457,5,2454
238,452,7,2461
239,454,3,2464
240,461,6,2470
241,461,18,2488
242,456,17,2505
243,462,35,2540
244,466,21,2561
245,456,9,2570
246,449,3,2573
247,444,10,2583
248,431,12,2595
249,426,9,2604
250,424,2,2606
251,425,0,2606
252,428,0,2606
253,428,0,2606
254,452,3,2609
255,452,15,2624
256,448,13,2637
257,441,25,2662
258,421,35,2697
259,412,28,2725
260,388,51,2776
261,389,32,2808
262,422,19,2827
263,422,22,2849
264,416,10,2859
265,424,12,2871
266,420,17,2888
267,431,8,2896
268,429,6,2902
269,430,2,2904
270,429,18,2922
271,438,6,2928
272,433,6,2934
273,429,2,2936
274,430,4,2940
275,446,4,2944
276,439,6,2950
277,449,5,2955
278,462,5,2960
279,458,20,2980
280,453,6,2986
281,468,3,2989
282,472,3,2992
283,468,7,2999
284,458,17,3016
285,463,5,3021
286,460,11,3032
287,469,13,3045
288,474,5,3050
289,475,8,3058
290,491,3,3061
291,488,5,3066
292,487,2,3068
293,494,2,3070
294,493,1,3071
295,492,1,3072
296,491,0,3072
297,491,1,3073
298,488,6,3079
299,482,4,3083
300,478,7,3090
301,491,3,3093
302,497,8,3101
303,486,13,3114
304,477,2,3116
305,476,1,3117
306,476,2,3119
307,477,2,3121
308,469,18,3139
309,449,27,3166
310,423,34,3200
311,426,22,3222
312,423,6,3228
313,416,14,3242
314,405,22,3264
315,409,11,3275
316,403,13,3288
317,423,21,3309
318,418,27,3336
319,408,34,3370
320,427,15,3385
321,417,13,3398
322,411,13,3411
323,417,23,3434
324,421,26,3460
325,413,34,3494
326,408,44,3538
327,390,25,3563
328,390,26,3589
329,381,27,3616
330,391,35,3651
331,399,33,3684
332,400,25,3709
333,394,20,3729
334,403,27,3756
