Year,Mean number of employees,Number of employees that left,Accumulated number of employees that left
190,380,45,7834
191,367,45,7879
192,365,35,7914
193,396,45,7959
194,383,50,8009
195,396,43,8052
196,383,53,8105
197,379,43,8148
198,389,50,8198
199,381,43,8241
200,385,44,8285
201,388,52,8337
202,390,45,8382
203,374,41,8423
204,379,38,8461
205,358,39,8500
206,331,44,8544
207,343,55,8599
208,346,54,8653
209,354,32,8685
210,368,39,8724
211,377,42,8766
212,377,43,8809
213,385,36,8845
214,383,59,8904
215,354,73,8977
216,342,62,9039
217,359,38,9077
218,368,34,9111
219,385,29,9140
220,375,66,9206
221,355,51,9257
222,348,36,9293
223,347,38,9331
224,369,44,9375
225,371,46,9421
226,370,34,9455
227,380,33,9488
228,382,43,9531
229,378,38,9569
230,395,43,9612
231,401,32,9644
232,378,41,9685
233,385,40,9725
234,380,48,9773
235,381,47,9820
236,393,34,9854
237,384,52,9906
238,381,35,9941
239,377,30,9971
240,370,27,9998
241,366,40,10038
242,369,35,10073
243,362,26,10099
244,368,45,10144
245,360,24,10168
246,405,50,10218
247,400,29,10247
248,379,41,10288
249,387,46,10334
250,386,39,10373
251,381,46,10419
252,385,52,10471
253,386,45,10516
254,361,40,10556
255,352,49,10605
256,359,34,10639
257,402,43,10682
258,400,37,10719
259,408,28,10747
260,405,30,10777
261,414,31,10808
262,408,36,10844
263,390,41,10885
264,400,53,10938
265,398,35,10973
266,395,45,11018
267,395,42,11060
268,394,42,11102
269,381,44,11146
270,393,37,11183
271,389,35,11218
272,379,49,11267
273,373,33,11300
274,385,43,11343
275,390,43,11386
276,382,37,11423
277,391,46,11469
278,381,57,11526
279,382,45,11571
280,391,28,11599
281,393,36,11635
282,389,31,11666
283,392,36,11702
284,394,36,11738
285,390,33,11771
286,398,26,11797
287,411,37,11834
288,403,32,11866
289,413,37,11903
290,413,43,11946
291,384,42,11988
292,382,31,12019
293,380,39,12058
294,388,43,12101
295,391,33,12134
296,390,38,12172
297,374,38,12210
298,426,35,12245
299,414,38,12283
300,413,47,12330
301,412,43,12373
302,420,37,12410
303,417,38,12448
304,411,43,12491
305,402,41,12532
306,409,38,12570
307,402,41,12611
308,408,46,12657
309,411,30,12687
310,435,35,12722
311,424,36,12758
312,400,50,12808
313,415,36,12844
314,424,30,12874
315,420,22,12896
316,437,38,12934
317,413,42,12976
318,399,49,13025
319,387,35,13060
320,392,43,13103
321,377,38,13141
322,410,43,13184
323,396,48,13232
324,399,28,13260
325,387,53,13313
326,392,38,13351
327,422,34,13385
328,410,47,13432
329,386,40,13472
330,408,36,13508
331,394,37,13545
332,382,37,13582
333,397,57,13639
334,394,49,13688
